Gene,RLS
YCR015C,15.2
YCR016W,23.2
YCR017C,25
YCR019W,24.8
YCR020C-A,26.2
YCR020C,21.4
YCR020W-B,18.4
YCR021C,18.6
YCR022C,17
YCR023C,32
YCR024C-A,25.95294
YCR024C,36.4
YCR025C,21.2
YCR026C,17
YCR027C,21.2
YCR028C-A,28.95385
YCR028C,14
YCR030C,21
YCR031C,24.13333
YCR032W,25.2
YCR033W,20.8
YCR034W,25.12
YCR036W,24.4
YCR037C,33.88
YCR043C,26.4
YCR044C,14.2
YCR045C,22.4
YCR046C,33.32
YCR047C,16.2
YCR048W,38.8
YCR049C,19.2
YCR050C,19
YCR051W,23.2
YCR053W,3.12
YCR059C,21.2
YCR060W,23.8
YCR061W,28.2
YCR063W,27.6
YCR065W,20.08
YCR066W,17.4
YCR067C,33.8
YCR068W,25
YCR069W,23
YCR071C,28.48
YCR073C,26.25
YCR073W-A,21.89231
YCR075C,23.6
YCR076C,23.2
YCR077C,18.2
YCR079W,22.91111
YCR081W,30.50769
YCR082W,32.6
YCR083W,25
YCR084C,22.03
YCR085W,23.6
YCR086W,16.875
YCR087C-A,22.32
YCR087W,22.8
YCR088W,30.475
YCR089W,32.2
YCR090C,27.8
YCR091W,27.2
YCR092C,29.84
YCR094W,13.2
YCR095C,31.6
YCR098C,29.2
YCR099C,21.4
YCR100C,21.4
YCR101C,30.88
YCR102C,29.6
YCR102W-A,35.8
YCR105W,26.46667
YCR106W,29.05703
YCR107W,27.61071
YDL001W,30.2
YDL002C,26
YDL005C,17.6
YDL006W,25.6
YDL009C,26.2
YDL010W,37
YDL011C,30.64
YDL012C,27.8
YDL013W,28.05517
YDL018C,31.8
YDL019C,32.6
YDL020C,15.26367
YDL021W,29.04706
YDL022W,24.8
YDL023C,35.8
YDL024C,34.4
YDL025C,23.8
YDL026W,29.4
YDL027C,36.2
YDL032W,33
YDL033C,34.8
YDL034W,28
YDL035C,36.38732
YDL036C,41
YDL037C,34.53333
YDL039C,37.3
YDL040C,28.475
YDL041W,16
YDL042C,19.2
YDL044C,30.4
YDL045W-A,19.6
YDL046W,29.4
YDL047W,25.9375
YDL048C,22.8
YDL049C,24.8
YDL050C,33.4
YDL051W,25.4
YDL052C,22.8
YDL053C,22.6
YDL054C,30.4
YDL056W,35.52
YDL057W,25
YDL059C,23.4
YDL062W,35
YDL063C,34.16
YDL065C,33.75
YDL066W,29.08485
YDL067C,24
YDL068W,28.8
YDL069C,34.54286
YDL070W,31.4
YDL071C,37.2
YDL072C,28
YDL073W,20.8
YDL074C,17.6
YDL075W,33.52488
YDL076C,22.6
YDL077C,16
YDL078C,21.37778
YDL079C,24.2
YDL080C,28.8
YDL081C,29.85227
YDL082W,33.81951
YDL083C,22.86667
YDL085W,25.72
YDL086W,21.6
YDL088C,35.2
YDL089W,26.2
YDL090C,21
YDL091C,30.41667
YDL093W,32.08
YDL094C,22
YDL095W,36.91111
YDL096C,16.8
YDL099W,37.1913
YDL100C,22
YDL101C,19.75
YDL102W,17.7
YDL104C,34
YDL106C,28.95
YDL107W,32
YDL109C,22.8
YDL110C,25.6
YDL112W,23.4
YDL113C,37.8
YDL114W,31
YDL115C,38.08
YDL116W,14.37778
YDL117W,20.6
YDL118W,28.8
YDL119C,25.6
YDL121C,37.8
YDL122W,36.4
YDL123W,27.2
YDL124W,27.8
YDL125C,31.2
YDL127W,32.4
YDL128W,30.51111
YDL129W,42.8
YDL130W-A,30.48
YDL130W,33.92
YDL131W,21.4
YDL133C-A,23.4
YDL133W,35.8
YDL134C,33.70303
YDL135C,27
YDL136W,31.68
YDL137W,29
YDL138W,28.2
YDL142C,11
YDL144C,20
YDL146W,15.6
YDL149W,25.8
YDL151C,20.8
YDL154W,33.6
YDL155W,27
YDL156W,21.8
YDL157C,32.4
YDL158C,27.8
YDL159W,28.36
YDL160C,21.15
YDL161W,30
YDL162C,19.4
YDL167C,27.6
YDL168W,25.8
YDL169C,29.92
YDL170W,28.51111
YDL171C,30.64
YDL172C,30.12
YDL173W,42.2
YDL174C,30.6
YDL175C,23.6
YDL176W,36.6
YDL177C,35.2
YDL178W,32.8
YDL179W,26.2
YDL180W,25.4
YDL181W,28.54688
YDL182W,24
YDL183C,23.6
YDL184C,24.08
YDL185W,17.94444
YDL186W,36.4
YDL187C,29.6
YDL188C,29.55152
YDL189W,38.2
YDL190C,26.2
YDL191W,30.928
YDL192W,32.2
YDL194W,18.6
YDL197C,24.4
YDL198C,7.66667
YDL199C,26
YDL200C,29.8
YDL201W,24.2
YDL202W,21.4
YDL203C,23
YDL204W,13
YDL206W,24.4
YDL210W,23.4
YDL211C,20
YDL213C,20.8
YDL214C,22
YDL215C,34.56
YDL216C,30.4
YDL218W,27.6
YDL219W,23.6
YDL222C,28.625
YDL223C,18.6
YDL224C,19.96
YDL225W,10
YDL226C,21
YDL227C,26.4
YDL229W,20.8
YDL230W,31.2
YDL231C,24.6
YDL232W,27.8
YDL233W,19.2
YDL234C,27.11111
YDL236W,29.6
YDL237W,29.4
YDL238C,25
YDL239C,25.8
YDL240W,30.2
YDL241W,19.8
YDL242W,29.4
YDL243C,21.8
YDR001C,29.63077
YDR003W,22.4
YDR004W,15.6
YDR005C,29.22131
YDR006C,37.37827
YDR007W,26
YDR008C,34.2
YDR009W,27.8
YDR010C,25.8
YDR011W,30.84615
YDR014W,31
YDR015C,17.2
YDR017C,20.2
YDR018C,26.3
YDR019C,32.8
YDR020C,29.175
YDR024W,28
YDR025W,28.72632
YDR026C,34.22222
YDR027C,27.35556
YDR028C,18.16923
YDR029W,23.6
YDR030C,28.6
YDR031W,27.4
YDR032C,32.8
YDR033W,21.8
YDR034C,22.8
YDR035W,25.2
YDR036C,19.4
YDR042C,17.8
YDR043C,31.6
YDR046C,19.8
YDR048C,34.92
YDR049W,28.78261
YDR051C,22.1
YDR055W,27.97143
YDR056C,28.7
YDR057W,26.21111
YDR058C,27.6
YDR059C,22.2
YDR061W,25.1
YDR063W,23.8
YDR065W,15.6
YDR066C,27.46667
YDR067C,25.6
YDR068W,27.35
YDR069C,15.8
YDR070C,18.6
YDR071C,20
YDR072C,20.6
YDR073W,30.53333
YDR074W,13.8
YDR075W,23.8
YDR076W,12.08
YDR077W,28.08
YDR078C,24.8
YDR079W,25.2
YDR080W,16.7
YDR083W,27.28333
YDR084C,21.4
YDR085C,23.4
YDR089W,20.8
YDR090C,24.95
YDR092W,22.2
YDR093W,22.93333
YDR094W,23.6
YDR095C,20.1
YDR096W,24
YDR097C,30.65
YDR098C,27.13333
YDR099W,31.07368
YDR100W,15.6
YDR101C,24.36
YDR102C,26.7
YDR103W,19.2
YDR104C,25.45
YDR105C,23.9
YDR107C,24.7
YDR108W,24.73333
YDR109C,30.84
YDR110W,32.83094
YDR111C,19.7
YDR112W,20.9
YDR114C,31.6
YDR115W,28.53846
YDR116C,23.5
YDR117C,23.2
YDR119W,29.4
YDR120C,22.5
YDR121W,26.24
YDR122W,22.95
YDR123C,29.32
YDR124W,35.35
YDR125C,26.2
YDR126W,19.7
YDR127W,21.8
YDR128W,19.6
YDR129C,13.6
YDR130C,19.9
YDR131C,24.7
YDR132C,29.53333
YDR133C,22.9
YDR134C,19.8
YDR135C,31.125
YDR136C,16.4
YDR137W,27.84211
YDR138W,8.45333
YDR139C,27.2
YDR140W,29.2
YDR142C,30.2
YDR143C,28
YDR144C,19
YDR146C,30.97778
YDR147W,21.2
YDR148C,18.17778
YDR149C,18
YDR150W,8.8
YDR151C,27.93333
YDR152W,23.2
YDR153C,21
YDR154C,27.4
YDR155C,27.98824
YDR156W,16.6
YDR157W,21.4
YDR158W,12.46667
YDR159W,15.62353
YDR161W,22.8
YDR162C,31
YDR163W,21.8
YDR165W,27.4
YDR169C,22.96
YDR171W,26.8
YDR173C,22.8
YDR174W,19.03995
YDR175C,27.6
YDR176W,24.15556
YDR178W,29.10769
YDR179C,33
YDR179W-A,26.2
YDR181C,25.4
YDR183W,16.8
YDR184C,24
YDR185C,29
YDR186C,34
YDR191W,22.55172
YDR192C,31.2
YDR193W,37.2
YDR194C,36.6
YDR195W,18.8
YDR197W,16.2
YDR198C,28.4
YDR199W,31
YDR200C,21.4
YDR202C,34.28
YDR203W,32.8
YDR204W,17.53333
YDR205W,32
YDR206W,22.4
YDR207C,14.6
YDR209C,20.4
YDR210W,29.6
YDR213W,31.2
YDR214W,28.4
YDR215C,27.6
YDR216W,20.92
YDR217C,21.68
YDR218C,21.8
YDR219C,9
YDR220C,23.6
YDR221W,23.8
YDR222W,25
YDR223W,26.84314
YDR225W,30.76
YDR226W,18.2
YDR227W,24.28235
YDR229W,25.6
YDR230W,20.8
YDR231C,26.8
YDR233C,29.84615
YDR234W,30.15
YDR237W,25.4
YDR239C,18.4
YDR241W,23.8
YDR242W,23.83333
YDR244W,28.32
YDR245W,34.48
YDR247W,35.16
YDR248C,33.22857
YDR249C,25
YDR250C,33.2
YDR251W,29.9
YDR252W,24.8
YDR253C,28.66667
YDR254W,22.6
YDR255C,27.53333
YDR256C,29.075
YDR257C,27.08889
YDR258C,25.2
YDR259C,24.1
YDR260C,31.1
YDR261C,19.8
YDR262W,21.4
YDR263C,22.6
YDR264C,14.54545
YDR265W,26.84
YDR266C,32.72
YDR268W,34.97143
YDR269C,30.76
YDR270W,17.8
YDR271C,35.6
YDR272W,21.4
YDR273W,19.8
YDR274C,33.57143
YDR275W,31.36
YDR276C,28.6
YDR277C,27.56
YDR278C,34.06667
YDR279W,25.06667
YDR281C,30.68
YDR282C,17
YDR283C,25.99267
YDR284C,34.6
YDR285W,28.25
YDR286C,27.95
YDR287W,10
YDR289C,24.26667
YDR290W,26
YDR291W,18.6
YDR293C,26.68571
YDR294C,22.52
YDR295C,33.76
YDR296W,23
YDR297W,29.8
YDR298C,27.34545
YDR300C,29.84
YDR304C,29.32
YDR305C,23
YDR306C,27.75
YDR307W,35.1
YDR309C,27.04
YDR310C,23.7
YDR312W,22.3
YDR313C,32.24255
YDR314C,35.93333
YDR315C,36.55
YDR316W,16.8
YDR317W,28.1
YDR318W,27.38235
YDR319C,30.65
YDR320C,25.8
YDR321W,31.5
YDR322W,22.4
YDR323C,24.5
YDR326C,30.05
YDR329C,22.8
YDR330W,25.4
YDR332W,31.05
YDR333C,32.8
YDR334W,23.8
YDR335W,29.06667
YDR336W,30.2
YDR337W,34.33333
YDR338C,24.6
YDR340W,30.8
YDR344C,22.4
YDR345C,21.8
YDR346C,17
YDR347W,19
YDR348C,16.6
YDR349C,30.6
YDR350C,22
YDR351W,29.2
YDR352W,31.8
YDR354W,32.4
YDR357C,25.4
YDR358W,28
YDR359C,20.8
YDR360W,19.4
YDR363W-A,32.8
YDR363W,11.89474
YDR364C,16.4
YDR368W,30.8
YDR370C,28.6
YDR371W,28.4
YDR372C,32.6
YDR374C,27
YDR375C,16.43529
YDR377W,31.42857
YDR378C,22
YDR379W,23.6
YDR380W,30.77647
YDR382W,35.6
YDR383C,27.4
YDR384C,31.8
YDR385W,22.26667
YDR386W,23
YDR387C,24.4
YDR389W,19.2
YDR391C,21
YDR392W,24.93976
YDR393W,19.4
YDR395W,29.6
YDR399W,33.6
YDR400W,24.36
YDR401W,23.4
YDR402C,35
YDR403W,16.6
YDR406W,18.4
YDR408C,23.8
YDR409W,23.1
YDR410C,31.2
YDR411C,20.2
YDR414C,26.2
YDR415C,23.6
YDR417C,28.45
YDR418W,32.2029
YDR419W,26.8
YDR420W,27.4
YDR421W,28.4
YDR422C,29
YDR423C,26.30345
YDR424C,23.2
YDR425W,29.6
YDR426C,20.2
YDR428C,21.2
YDR430C,21
YDR431W,17.6
YDR432W,13.35
YDR433W,8.4
YDR435C,28.6
YDR436W,24.2
YDR438W,37
YDR439W,20.24
YDR440W,27.4
YDR441C,29.6
YDR442W,19.2
YDR443C,26
YDR444W,27.3
YDR445C,36.8
YDR446W,17.4
YDR447C,26.45714
YDR448W,10.91111
YDR450W,24.31481
YDR451C,22.12
YDR452W,21.8
YDR453C,27.76
YDR455C,19.4
YDR456W,12.64444
YDR457W,32.73171
YDR458C,23.8
YDR459C,21.04
YDR461W,23.25
YDR462W,19.4
YDR463W,22.2
YDR465C,31.51111
YDR466W,30.032
YDR467C,26
YDR469W,22.6
YDR470C,28.84444
YDR471W,22.04
YDR475C,26.8
YDR476C,21.6
YDR477W,29.2
YDR479C,19
YDR480W,21.8
YDR481C,23.4
YDR482C,23.6
YDR483W,20.8
YDR484W,30.82222
YDR485C,17.2
YDR486C,32.12308
YDR488C,11
YDR490C,33.00952
YDR491C,27.2
YDR492W,31.6
YDR493W,22.95
YDR494W,21
YDR495C,24.78125
YDR496C,25.44
YDR497C,29.58462
YDR500C,30.3125
YDR501W,39.4
YDR502C,23.8
YDR503C,23.4
YDR504C,35.4
YDR505C,22.4
YDR506C,27.12
YDR507C,26.6
YDR508C,28.8
