db.name,sys.name
YDR056C,YDR056C
YOS9,YDR057W
TGL2,YDR058C
UBC5,YDR059C
YDR061W,YDR061W
AIM7,YDR063W
YDR065W,YDR065W
RTR2,YDR066C
OCA6,YDR067C
DOS2,YDR068W
DOA4,YDR069C
FMP16,YDR070C
PAA1,YDR071C
IPT1,YDR072C
SNF11,YDR073W
TPS2,YDR074W
PPH3,YDR075W
RAD55,YDR076W
SED1,YDR077W
SHU2,YDR078C
PET100,YDR079W
VPS41,YDR080W
RRP8,YDR083W
TVP23,YDR084C
AFR1,YDR085C
YDR089W,YDR089W
YDR090C,YDR090C
UBC13,YDR092W
DNF2,YDR093W
YDR094W,YDR094W
YDR095C,YDR095C
GIS1,YDR096W
MSH6,YDR097C
GRX3,YDR098C
BMH2,YDR099W
TVP15,YDR100W
ARX1,YDR101C
YDR102C,YDR102C
STE5,YDR103W
SPO71,YDR104C
TMS1,YDR105C
TMN2,YDR107C
YDR109C,YDR109C
FOB1,YDR110W
ALT2,YDR111C
YDR112W,YDR112W
YDR114C,YDR114C
YDR115W,YDR115W
MRPL1,YDR116C
TMA64,YDR117C
VBA4,YDR119W
TRM1,YDR120C
DPB4,YDR121W
KIN1,YDR122W
INO2,YDR123C
YDR124W,YDR124W
ECM18,YDR125C
SWF1,YDR126W
ARO1,YDR127W
MTC5,YDR128W
SAC6,YDR129C
FIN1,YDR130C
YDR131C,YDR131C
YDR132C,YDR132C
YDR133C,YDR133C
YDR134C,YDR134C
YCF1,YDR135C
VPS61,YDR136C
RGP1,YDR137W
HPR1,YDR138W
RUB1,YDR139C
MTQ2,YDR140W
PEX7,YDR142C
SAN1,YDR143C
MKC7,YDR144C
SWI5,YDR146C
EKI1,YDR147W
KGD2,YDR148C
YDR149C,YDR149C
NUM1,YDR150W
CTH1,YDR151C
GIR2,YDR152W
ENT5,YDR153C
YDR154C,YDR154C
CPR1,YDR155C
RPA14,YDR156W
YDR157W,YDR157W
HOM2,YDR158W
SAC3,YDR159W
YDR161W,YDR161W
NBP2,YDR162C
CWC15,YDR163W
TRM82,YDR165W
STB3,YDR169C
HSP42,YDR171W
ARG82,YDR173C
HMO1,YDR174W
RSM24,YDR175C
NGG1,YDR176W
SDH4,YDR178W
CSN9,YDR179C
SAS4,YDR181C
PLP1,YDR183W
ATC1,YDR184C
YDR185C,YDR185C
YDR186C,YDR186C
HST4,YDR191W
NUP42,YDR192C
YDR193W,YDR193W
MSS116,YDR194C
REF2,YDR195W
CBS2,YDR197W
RKM2,YDR198C
YDR199W,YDR199W
VPS64,YDR200C
RAV2,YDR202C
YDR203W,YDR203W
COQ4,YDR204W
MSC2,YDR205W
EBS1,YDR206W
UME6,YDR207C
YDR209C,YDR209C
YDR210W,YDR210W
UPC2,YDR213W
AHA1,YDR214W
YDR215C,YDR215C
ADR1,YDR216W
RAD9,YDR217C
SPR28,YDR218C
MFB1,YDR219C
YDR220C,YDR220C
GTB1,YDR221W
YDR222W,YDR222W
CRF1,YDR223W
HTA1,YDR225W
ADK1,YDR226W
SIR4,YDR227W
IVY1,YDR229W
YDR230W,YDR230W
COX20,YDR231C
RTN1,YDR233C
LYS4,YDR234W
MRPL7,YDR237W
YDR239C,YDR239C
BUD26,YDR241W
AMD2,YDR242W
PEX5,YDR244W
MNN10,YDR245W
VHS1,YDR247W
YDR248C,YDR248C
YDR249C,YDR249C
YDR250C,YDR250C
PAM1,YDR251W
BTT1,YDR252W
MET32,YDR253C
CHL4,YDR254W
RMD5,YDR255C
CTA1,YDR256C
RKM4,YDR257C
HSP78,YDR258C
YAP6,YDR259C
SWM1,YDR260C
EXG2,YDR261C
YDR262W,YDR262W
DIN7,YDR263C
AKR1,YDR264C
PEX10,YDR265W
YDR266C,YDR266C
MSW1,YDR268W
YDR269C,YDR269C
CCC2,YDR270W
YDR271C,YDR271C
GLO2,YDR272W
DON1,YDR273W
YDR274C,YDR274C
BSC2,YDR275W
PMP3,YDR276C
MTH1,YDR277C
YDR278C,YDR278C
RNH202,YDR279W
PHM6,YDR281C
YDR282C,YDR282C
GCN2,YDR283C
DPP1,YDR284C
ZIP1,YDR285W
YDR286C,YDR286C
INM2,YDR287W
RTT103,YDR289C
YDR290W,YDR290W
HRQ1,YDR291W
SSD1,YDR293C
DPL1,YDR294C
HDA2,YDR295C
MHR1,YDR296W
SUR2,YDR297W
ATP5,YDR298C
PRO1,YDR300C
CPR5,YDR304C
HNT2,YDR305C
YDR306C,YDR306C
YDR307W,YDR307W
GIC2,YDR309C
SUM1,YDR310C
SSF2,YDR312W
PIB1,YDR313C
RAD34,YDR314C
IPK1,YDR315C
OMS1,YDR316W
HIM1,YDR317W
MCM21,YDR318W
YFT2,YDR319C
SWA2,YDR320C
ASP1,YDR321W
MRPL35,YDR322W
PEP7,YDR323C
YSP2,YDR326C
PEX3,YDR329C
UBX5,YDR330W
IRC3,YDR332W
YDR333C,YDR333C
SWR1,YDR334W
MSN5,YDR335W
YDR336W,YDR336W
MRPS28,YDR337W
YDR338C,YDR338C
YDR340W,YDR340W
YDR344C,YDR344C
HXT3,YDR345C
SVF1,YDR346C
MRP1,YDR347W
YDR348C,YDR348C
YPS7,YDR349C
ATP22,YDR350C
SBE2,YDR351W
YDR352W,YDR352W
TRP4,YDR354W
YDR357C,YDR357C
GGA1,YDR358W
EAF1,YDR359C
YDR360W,YDR360W
ESC2,YDR363W
SEM1,YDR363W-A
CDC40,YDR364C
YPR1,YDR368W
YDR370C,YDR370C
CTS2,YDR371W
VPS74,YDR372C
YDR374C,YDR374C
BCS1,YDR375C
ATP17,YDR377W
LSM6,YDR378C
RGA2,YDR379W
ARO10,YDR380W
RPP2B,YDR382W
NKP1,YDR383C
ATO3,YDR384C
EFT2,YDR385W
MUS81,YDR386W
YDR387C,YDR387C
SAC7,YDR389W
YDR391C,YDR391C
SPT3,YDR392W
SHE9,YDR393W
SXM1,YDR395W
HPT1,YDR399W
URH1,YDR400W
YDR401W,YDR401W
DIT2,YDR402C
DIT1,YDR403W
PDR15,YDR406W
ADE8,YDR408C
SIZ1,YDR409W
STE14,YDR410C
DFM1,YDR411C
ERD1,YDR414C
YDR415C,YDR415C
YDR417C,YDR417C
RPL12B,YDR418W
RAD30,YDR419W
HKR1,YDR420W
ARO80,YDR421W
SIP1,YDR422C
CAD1,YDR423C
DYN2,YDR424C
SNX41,YDR425W
YDR426C,YDR426C
BNA7,YDR428C
CYM1,YDR430C
YDR431W,YDR431W
NPL3,YDR432W
YDR433W,YDR433W
PPM1,YDR435C
PPZ2,YDR436W
THI74,YDR438W
LRS4,YDR439W
DOT1,YDR440W
APT2,YDR441C
YDR442W,YDR442W
SSN2,YDR443C
YDR444W,YDR444W
YDR445C,YDR445C
ECM11,YDR446W
RPS17B,YDR447C
ADA2,YDR448W
RPS18A,YDR450W
YHP1,YDR451C
PPN1,YDR452W
TSA2,YDR453C
YDR455C,YDR455C
NHX1,YDR456W
TOM1,YDR457W
HEH2,YDR458C
PFA5,YDR459C
MFA1,YDR461W
MRPL28,YDR462W
STP1,YDR463W
RMT2,YDR465C
PKH3,YDR466W
