systematic,gene,sgd
YEL050C,RML2,S000000776
YEL050W-A,YEL050W-A,S000028545
YEL051W,VMA8,S000000777
YEL052W,AFG1,S000000778
YEL053C,MAK10,S000000779
YEL053W-A,YEL053W-A,S000028744
YEL054C,RPL12A,S000000780
YEL055C,POL5,S000000781
YEL056W,HAT2,S000000782
YEL057C,YEL057C,S000000783
YEL058W,PCM1,S000000784
YEL059C-A,SOM1,S000002954
YEL059W,HHY1,S000000785
YEL060C,PRB1,S000000786
YEL061C,CIN8,S000000787
YEL062W,NPR2,S000000788
YEL063C,CAN1,S000000789
YEL064C,AVT2,S000000790
YEL065W,SIT1,S000000791
YEL066W,HPA3,S000000792
YEL067C,YEL067C,S000000793
YEL068C,YEL068C,S000000794
YEL069C,HXT13,S000000795
YEL070W,DSF1,S000000796
YEL071W,DLD3,S000000797
YEL072W,RMD6,S000000798
YEL073C,YEL073C,S000000799
YEL074W,YEL074W,S000000800
YEL075C,YEL075C,S000000801
YEL075W-A,YEL075W-A,S000002956
YEL076C,YEL076C,S000000802
YEL076C-A,YEL076C-A,S000002955
YEL077C,YEL077C,S000006409
YEL077W-A,YEL077W-A,S000028621
YER001W,MNN1,S000000803
YER002W,NOP16,S000000804
YER003C,PMI40,S000000805
YER004W,FMP52,S000000806
YER005W,YND1,S000000807
YER006C-A,YER006C-A,S000028745
YER006W,NUG1,S000000808
YER007C-A,TMA20,S000002957
YER007W,PAC2,S000000809
YER008C,SEC3,S000000810
YER009W,NTF2,S000000811
YER010C,YER010C,S000000812
YER011W,TIR1,S000000813
YER012W,PRE1,S000000814
YER013W,PRP22,S000000815
YER014C-A,BUD25,S000007590
YER014W,HEM14,S000000816
YER015W,FAA2,S000000817
YER016W,BIM1,S000000818
YER017C,AFG3,S000000819
YER018C,SPC25,S000000820
YER019C-A,SBH2,S000002127
YER019W,ISC1,S000000821
YER020W,GPA2,S000000822
YER021W,RPN3,S000000823
YER022W,SRB4,S000000824
YER023C-A,YER023C-A,S000028622
YER023W,PRO3,S000000825
YER024W,YAT2,S000000826
YER025W,GCD11,S000000827
YER026C,CHO1,S000000828
YER027C,GAL83,S000000829
YER028C,MIG3,S000000830
YER029C,SMB1,S000000831
YER030W,CHZ1,S000000832
YER031C,YPT31,S000000833
YER032W,FIR1,S000000834
YER033C,ZRG8,S000000835
YER034W,YER034W,S000000836
YER035W,EDC2,S000000837
YER036C,ARB1,S000000838
YER037W,PHM8,S000000839
YER038C,KRE29,S000000840
YER038W-A,YER038W-A,S000028746
YER039C,HVG1,S000000841
YER039C-A,YER039C-A,S000007226
YER040W,GLN3,S000000842
YER041W,YEN1,S000000843
YER042W,MXR1,S000000844
YER043C,SAH1,S000000845
YER044C,ERG28,S000000846
YER044C-A,MEI4,S000001954
YER045C,ACA1,S000000847
YER046W,SPO73,S000000848
YER046W-A,YER046W-A,S000028747
YER047C,SAP1,S000000849
YER048C,CAJ1,S000000850
YER048W-A,ISD11,S000007237
YER049W,TPA1,S000000851
YER050C,RSM18,S000000852
YER051W,JHD1,S000000853
YER052C,HOM3,S000000854
YER053C,PIC2,S000000855
YER053C-A,YER053C-A,S000007523
YER054C,GIP2,S000000856
YER055C,HIS1,S000000857
YER056C,FCY2,S000000858
YER056C-A,RPL34A,S000002135
YER057C,HMF1,S000000859
YER058W,PET117,S000000860
YER059W,PCL6,S000000861
YER060W,FCY21,S000000862
YER060W-A,FCY22,S000002958
YER061C,CEM1,S000000863
YER062C,GPP2,S000000864
YER063W,THO1,S000000865
YER064C,VHR2,S000000866
YER065C,ICL1,S000000867
YER066C-A,YER066C-A,S000002959
YER066W,RRT13,S000000868
YER067C-A,YER067C-A,S000028748
YER067W,RGI1,S000000869
YER068C-A,YER068C-A,S000028749
YER068W,MOT2,S000000870
YER069W,ARG56,S000000871
YER070W,RNR1,S000000872
YER071C,TDA2,S000000873
YER072W,VTC1,S000000874
YER073W,ALD5,S000000875
YER074W,RPS24A,S000000876
YER074W-A,YOS1,S000007651
YER075C,PTP3,S000000877
YER076C,YER076C,S000000878
YER076W-A,YER076W-A,S000028750
YER077C,YER077C,S000000879
YER078C,ICP55,S000000880
YER078W-A,YER078W-A,S000028546
YER079C-A,YER079C-A,S000028751
YER079W,YER079W,S000000881
YER080W,AIM9,S000000882
YER081W,SER3,S000000883
YER082C,UTP7,S000000884
YER083C,GET2,S000000885
YER084W,YER084W,S000000886
YER084W-A,YER084W-A,S000028752
YER085C,YER085C,S000000887
YER086W,ILV1,S000000888
YER087C-A,YER087C-A,S000028753
YER087C-B,SBH1,S000002128
YER087W,AIM10,S000000889
YER088C,DOT6,S000000890
YER088C-A,YER088C-A,S000028754
YER088W-B,YER088W-B,S000028623
YER089C,PTC2,S000000891
YER090C-A,YER090C-A,S000029725
YER090W,TRP2,S000000892
YER091C,MET6,S000000893
YER091C-A,YER091C-A,S000007238
YER092W,IES5,S000000894
YER093C,TSC11,S000000895
YER093C-A,AIM11,S000002960
YER094C,PUP3,S000000896
YER095W,RAD51,S000000897
YER096W,SHC1,S000000898
YER097W,YER097W,S000000899
YER098W,UBP9,S000000900
YER099C,PRS2,S000000901
YER100W,UBC6,S000000902
YER101C,AST2,S000000903
YER102W,RPS8B,S000000904
YER103W,SSA4,S000000905
YER104W,RTT105,S000000906
YER105C,NUP157,S000000907
YER106W,MAM1,S000000908
YER107C,GLE2,S000000909
YER107W-A,YER107W-A,S000028755
YER109C,FLO8,S000000911
YER110C,KAP123,S000000912
YER111C,SWI4,S000000913
YER112W,LSM4,S000000914
YER113C,TMN3,S000000915
YER114C,BOI2,S000000916
YER115C,SPR6,S000000917
YER116C,SLX8,S000000918
YER117W,RPL23B,S000000919
YER118C,SHO1,S000000920
YER119C,AVT6,S000000921
YER119C-A,YER119C-A,S000002961
YER120W,SCS2,S000000922
YER121W,YER121W,S000000923
YER122C,GLO3,S000000924
YER123W,YCK3,S000000925
YER124C,DSE1,S000000926
YER125W,RSP5,S000000927
YER126C,NSA2,S000000928
YER127W,LCP5,S000000929
YER128W,VFA1,S000000930
YER129W,SAK1,S000000931
YER130C,COM2,S000000932
YER131W,RPS26B,S000000933
YER132C,PMD1,S000000934
YER133W,GLC7,S000000935
YER133W-A,YER133W-A,S000028756
YER134C,YER134C,S000000936
YER135C,YER135C,S000000937
YER136W,GDI1,S000000938
YER137C,YER137C,S000000939
YER137C-A,YER137C-A,S000007402
YER137W-A,YER137W-A,S000028757
YER138C,YER138C,S000000940
YER138W-A,YER138W-A,S000007239
YER139C,RTR1,S000000941
YER140W,EMP65,S000000942
YER141W,COX15,S000000943
YER142C,MAG1,S000000944
YER143W,DDI1,S000000945
YER144C,UBP5,S000000946
YER145C,FTR1,S000000947
YER145C-A,YER145C-A,S000028758
YER146W,LSM5,S000000948
YER147C,SCC4,S000000949
YER147C-A,YER147C-A,S000028759
YER148W,SPT15,S000000950
YER148W-A,YER148W-A,S000028760
YER149C,PEA2,S000000951
YER150W,SPI1,S000000952
YER151C,UBP3,S000000953
YER152C,YER152C,S000000954
YER152W-A,YER152W-A,S000028761
YER153C,PET122,S000000955
YER154W,OXA1,S000000956
YER155C,BEM2,S000000957
YER156C,YER156C,S000000958
YER157W,COG3,S000000959
YER158C,YER158C,S000000960
YER158W-A,YER158W-A,S000028624
YER159C,BUR6,S000000961
YER159C-A,YER159C-A,S000007403
YER160C,YER160C,S000000962
YER161C,SPT2,S000000963
YER162C,RAD4,S000000964
YER163C,GCG1,S000000965
YER164W,CHD1,S000000966
YER165C-A,YER165C-A,S000028762
YER165W,PAB1,S000000967
YER166W,DNF1,S000000968
YER167W,BCK2,S000000969
YER168C,CCA1,S000000970
YER169W,RPH1,S000000971
YER170W,ADK2,S000000972
YER171W,RAD3,S000000973
YER172C,BRR2,S000000974
YER172C-A,YER172C-A,S000028763
YER173W,RAD24,S000000975
YER174C,GRX4,S000000976
YER175C,TMT1,S000000977
YER175W-A,YER175W-A,S000028625
YER176W,ECM32,S000000978
YER177W,BMH1,S000000979
YER178W,PDA1,S000000980
YER179W,DMC1,S000000981
YER180C,ISC10,S000000982
YER180C-A,SLO1,S000028437
YER181C,YER181C,S000000983
YER182W,FMP10,S000000984
YER183C,FAU1,S000000985
YER184C,TOG1,S000000986
YER185W,PUG1,S000000987
YER186C,YER186C,S000000988
YER187W,YER187W,S000000989
YER188C-A,YER188C-A,S000028764
YER188W,YER188W,S000000990
YER189W,YER189W,S000000991
YER190C-A,YER190C-A,S000028626
YER190C-B,YER190C-B,S000028627
YER190W,YRF1-2,S000000992
YFL001W,DEG1,S000001895
YFL002C,SPB4,S000001894
YFL002W-A,YFL002W-A,S000002962
YFL002W-B,YFL002W-B,S000007404
YFL003C,MSH4,S000001891
YFL004W,VTC2,S000001890
YFL005W,SEC4,S000001889
YFL007W,BLM10,S000001887
YFL008W,SMC1,S000001886
YFL009W,CDC4,S000001885
YFL010C,WWM1,S000001884
YFL010W-A,AUA1,S000001955
YFL011W,HXT10,S000001883
YFL012W,YFL012W,S000001882
YFL012W-A,YFL012W-A,S000002964
YFL013C,IES1,S000001881
YFL013W-A,YFL013W-A,S000028628
YFL014W,HSP12,S000001880
YFL015C,YFL015C,S000001879
YFL015W-A,YFL015W-A,S000028765
YFL016C,MDJ1,S000001878
YFL017C,GNA1,S000001877
YFL017W-A,SMX2,S000002965
YFL018C,LPD1,S000001876
YFL019C,YFL019C,S000001875
YFL020C,PAU5,S000001874
YFL021C-A,YFL021C-A,S000028766
YFL021W,GAT1,S000001873
YFL022C,FRS2,S000001872
YFL023W,BUD27,S000001871
YFL024C,EPL1,S000001870
YFL025C,BST1,S000001869
YFL026W,STE2,S000001868
YFL027C,GYP8,S000001867
YFL028C,CAF16,S000001866
YFL029C,CAK1,S000001865
YFL030W,AGX1,S000001864
YFL031C-A,YFL031C-A,S000028629
YFL031W,HAC1,S000001863
YFL032W,YFL032W,S000001862
YFL033C,RIM15,S000001861
YFL034C-A,RPL22B,S000006436
YFL034C-B,MOB2,S000001859
YFL034W,YFL034W,S000001860
YFL036W,RPO41,S000001858
YFL037W,TUB2,S000001857
YFL038C,YPT1,S000001856
YFL039C,ACT1,S000001855
YFL040W,YFL040W,S000001854
YFL041W,FET5,S000001853
YFL041W-A,YFL041W-A,S000028547
YFL042C,YFL042C,S000001852
YFL044C,OTU1,S000001850
YFL045C,SEC53,S000001849
YFL046W,FMP32,S000001848
YFL047W,RGD2,S000001847
YFL048C,EMP47,S000001846
YFL049W,SWP82,S000001845
YFL050C,ALR2,S000001844
YFL051C,YFL051C,S000001843
YFL052W,YFL052W,S000001842
YFL053W,DAK2,S000001841
YFL054C,YFL054C,S000001840
YFL055W,AGP3,S000001839
YFL056C,AAD6,S000001838
YFL058W,THI5,S000001836
YFL059W,SNZ3,S000001835
YFL060C,SNO3,S000001834
YFL061W,DDI2,S000001833
YFL062W,COS4,S000001832
YFL063W,YFL063W,S000001831
YFL064C,YFL064C,S000001830
YFL065C,YFL065C,S000001829
YFL066C,YFL066C,S000001828
YFL067W,YFL067W,S000001827
YFL068W,YFL068W,S000001826
YFR001W,LOC1,S000001897
YFR002W,NIC96,S000001898
YFR003C,YPI1,S000001899
YFR004W,RPN11,S000001900
YFR005C,SAD1,S000001901
YFR006W,YFR006W,S000001902
YFR007W,YFH7,S000001903
YFR008W,FAR7,S000001904
YFR009W,GCN20,S000001905
YFR009W-A,YFR009W-A,S000028823
YFR010W,UBP6,S000001906
YFR010W-A,YFR010W-A,S000028824
YFR011C,MIC19,S000001907
YFR012W,DCV1,S000001908
YFR012W-A,YFR012W-A,S000007606
YFR013W,IOC3,S000001909
YFR014C,CMK1,S000001910
YFR015C,GSY1,S000001911
YFR016C,YFR016C,S000001912
YFR017C,IGD1,S000001913
YFR018C,YFR018C,S000001914
YFR019W,FAB1,S000001915
YFR020W,YFR020W,S000001916
YFR021W,ATG18,S000001917
YFR022W,ROG3,S000001918
YFR023W,PES4,S000001919
YFR024C-A,LSB3,S000002968
YFR025C,HIS2,S000001921
YFR026C,ULI1,S000001922
YFR027W,ECO1,S000001923
YFR028C,CDC14,S000001924
YFR029W,PTR3,S000001925
YFR030W,MET10,S000001926
YFR031C,SMC2,S000001927
YFR031C-A,RPL2A,S000002104
YFR032C,RRT5,S000001928
YFR032C-A,RPL29,S000006437
YFR032C-B,YFR032C-B,S000028630
YFR033C,QCR6,S000001929
YFR034C,PHO4,S000001930
YFR034W-A,YFR034W-A,S000028631
YFR035C,YFR035C,S000001931
YFR036W,CDC26,S000001932
YFR036W-A,YFR036W-A,S000028767
YFR037C,RSC8,S000001933
YFR038W,IRC5,S000001934
YFR039C,OSW7,S000001935
YFR040W,SAP155,S000001936
YFR041C,ERJ5,S000001937
YFR042W,KEG1,S000001938
YFR043C,IRC6,S000001939
YFR044C,DUG1,S000001940
YFR045W,YFR045W,S000001941
YFR046C,CNN1,S000001942
YFR047C,BNA6,S000001943
YFR048W,RMD8,S000001944
YFR049W,YMR31,S000001945
YFR050C,PRE4,S000001946
YFR051C,RET2,S000001947
YFR052C-A,YFR052C-A,S000028768
YFR052W,RPN12,S000001948
YFR053C,HXK1,S000001949
YFR054C,YFR054C,S000001950
YFR055W,IRC7,S000001952
YFR056C,YFR056C,S000001951
YFR057W,YFR057W,S000001953
YGL001C,ERG26,S000002969
YGL002W,ERP6,S000002970
YGL003C,CDH1,S000002971
YGL004C,RPN14,S000002972
YGL005C,COG7,S000002973
YGL006W,PMC1,S000002974
YGL006W-A,YGL006W-A,S000028769
YGL007C-A,YGL007C-A,S000028632
YGL007W,BRP1,S000002975
YGL008C,PMA1,S000002976
YGL009C,LEU1,S000002977
YGL010W,MPO1,S000002978
YGL011C,SCL1,S000002979
YGL012W,ERG4,S000002980
YGL013C,PDR1,S000002981
YGL014C-A,YGL014C-A,S000028825
YGL014W,PUF4,S000002982
YGL015C,YGL015C,S000002983
YGL016W,KAP122,S000002984
YGL017W,ATE1,S000002985
YGL018C,JAC1,S000002986
YGL019W,CKB1,S000002987
YGL020C,GET1,S000002988
YGL021W,ALK1,S000002989
YGL022W,STT3,S000002990
YGL023C,PIB2,S000002991
YGL024W,YGL024W,S000002992
YGL025C,PGD1,S000002993
YGL026C,TRP5,S000002994
YGL027C,CWH41,S000002995
YGL028C,SCW11,S000002996
YGL029W,CGR1,S000002997
YGL030W,RPL30,S000002998
YGL031C,RPL24A,S000002999
YGL032C,AGA2,S000003000
YGL033W,HOP2,S000003001
YGL034C,YGL034C,S000003002
YGL035C,MIG1,S000003003
YGL036W,YGL036W,S000003004
YGL037C,PNC1,S000003005
YGL038C,OCH1,S000003006
YGL039W,YGL039W,S000003007
YGL040C,HEM2,S000003008
YGL041C,YGL041C,S000003009
YGL041C-B,YGL041C-B,S000028548
YGL041W-A,YGL041W-A,S000028826
YGL042C,YGL042C,S000003010
YGL043W,DST1,S000003011
YGL044C,RNA15,S000003012
YGL045W,RIM8,S000003013
YGL047W,ALG13,S000003015
YGL048C,RPT6,S000003016
YGL049C,TIF4632,S000003017
YGL050W,TYW3,S000003018
YGL051W,MST27,S000003019
YGL052W,YGL052W,S000003020
YGL053W,PRM8,S000003021
YGL054C,ERV14,S000003022
YGL055W,OLE1,S000003023
YGL056C,SDS23,S000003024
YGL057C,GEP7,S000003025
YGL058W,RAD6,S000003026
YGL059W,PKP2,S000003027
YGL060W,YBP2,S000003028
YGL061C,DUO1,S000003029
YGL062W,PYC1,S000003030
YGL063C-A,YGL063C-A,S000028633
YGL063W,PUS2,S000003031
YGL064C,MRH4,S000003032
YGL065C,ALG2,S000003033
YGL066W,SGF73,S000003034
YGL067W,NPY1,S000003035
YGL068W,MNP1,S000003036
YGL069C,YGL069C,S000003037
YGL070C,RPB9,S000003038
YGL071W,AFT1,S000003039
YGL072C,YGL072C,S000003040
YGL073W,HSF1,S000003041
YGL074C,YGL074C,S000003042
YGL075C,MPS2,S000003043
YGL076C,RPL7A,S000003044
YGL077C,HNM1,S000003045
YGL078C,DBP3,S000003046
YGL079W,KXD1,S000003047
YGL080W,MPC1,S000003048
YGL081W,YGL081W,S000003049
YGL082W,YGL082W,S000003050
YGL083W,SCY1,S000003051
YGL084C,GUP1,S000003052
YGL085W,LCL3,S000003053
YGL086W,MAD1,S000003054
YGL087C,MMS2,S000003055
YGL088W,YGL088W,S000003056
YGL089C,MF(ALPHA)2,S000003057
YGL090W,LIF1,S000003058
YGL091C,NBP35,S000003059
YGL092W,NUP145,S000003060
YGL093W,SPC105,S000003061
YGL094C,PAN2,S000003062
YGL095C,VPS45,S000003063
YGL096W,TOS8,S000003064
YGL097W,SRM1,S000003065
YGL098W,USE1,S000003066
YGL099W,LSG1,S000003067
YGL100W,SEH1,S000003068
YGL101W,YGL101W,S000003069
YGL102C,YGL102C,S000003070
YGL103W,RPL28,S000003071
YGL104C,VPS73,S000003072
YGL105W,ARC1,S000003073
YGL106W,MLC1,S000003074
YGL107C,RMD9,S000003075
YGL108C,YGL108C,S000003076
YGL109W,YGL109W,S000003077
YGL110C,CUE3,S000003078
YGL111W,NSA1,S000003079
YGL112C,TAF6,S000003080
YGL113W,SLD3,S000003081
YGL114W,YGL114W,S000003082
YGL115W,SNF4,S000003083
YGL116W,CDC20,S000003084
YGL117W,YGL117W,S000003085
YGL118C,YGL118C,S000003086
YGL119W,COQ8,S000003087
YGL120C,PRP43,S000003088
YGL121C,GPG1,S000003089
YGL122C,NAB2,S000003090
YGL123C-A,YGL123C-A,S000028634
YGL123W,RPS2,S000003091
YGL124C,MON1,S000003092
YGL125W,MET13,S000003093
YGL126W,SCS3,S000003094
YGL127C,SOH1,S000003095
YGL128C,CWC23,S000003096
YGL129C,RSM23,S000003097
YGL130W,CEG1,S000003098
YGL131C,SNT2,S000003099
YGL132W,YGL132W,S000003100
YGL133W,ITC1,S000003101
YGL134W,PCL10,S000003102
YGL135W,RPL1B,S000003103
YGL136C,MRM2,S000003104
YGL137W,SEC27,S000003105
YGL138C,YGL138C,S000003106
YGL139W,FLC3,S000003107
YGL140C,YGL140C,S000003108
YGL141W,HUL5,S000003109
YGL142C,GPI10,S000003110
YGL143C,MRF1,S000003111
YGL144C,ROG1,S000003112
YGL145W,TIP20,S000003113
YGL146C,RRT6,S000003114
YGL147C,RPL9A,S000003115
YGL148W,ARO2,S000003116
YGL149W,YGL149W,S000003117
YGL150C,INO80,S000003118
YGL151W,NUT1,S000003119
YGL152C,YGL152C,S000003120
YGL153W,PEX14,S000003121
YGL154C,LYS5,S000003122
YGL155W,CDC43,S000003123
YGL156W,AMS1,S000003124
YGL157W,ARI1,S000003125
YGL158W,RCK1,S000003126
YGL159W,YGL159W,S000003127
YGL160W,AIM14,S000003128
YGL161C,YIP5,S000003129
YGL162W,SUT1,S000003130
YGL163C,RAD54,S000003131
YGL164C,YRB30,S000003132
YGL165C,YGL165C,S000003133
YGL166W,CUP2,S000003134
YGL167C,PMR1,S000003135
YGL168W,HUR1,S000003136
YGL169W,SUA5,S000003137
YGL170C,SPO74,S000003138
YGL171W,ROK1,S000003139
YGL172W,NUP49,S000003140
YGL173C,XRN1,S000003141
YGL174W,BUD13,S000003142
YGL175C,SAE2,S000003143
YGL176C,YGL176C,S000003144
YGL177W,YGL177W,S000003145
YGL178W,MPT5,S000003146
YGL179C,TOS3,S000003147
YGL180W,ATG1,S000003148
YGL181W,GTS1,S000003149
YGL182C,YGL182C,S000003150
YGL183C,MND1,S000003151
YGL184C,STR3,S000003152
YGL185C,YGL185C,S000003153
YGL186C,TPN1,S000003154
YGL187C,COX4,S000003155
YGL188C,YGL188C,S000003156
YGL188C-A,YGL188C-A,S000028635
YGL189C,RPS26A,S000003157
YGL190C,CDC55,S000003158
YGL191W,COX13,S000003159
YGL192W,IME4,S000003160
YGL193C,YGL193C,S000003161
YGL194C,HOS2,S000003162
YGL194C-A,YGL194C-A,S000087160
YGL195W,GCN1,S000003163
YGL196W,DSD1,S000003164
YGL197W,MDS3,S000003165
YGL198W,YIP4,S000003166
YGL199C,YGL199C,S000003167
YGL200C,EMP24,S000003168
YGL201C,MCM6,S000003169
YGL202W,ARO8,S000003170
YGL203C,KEX1,S000003171
YGL204C,YGL204C,S000003172
YGL205W,POX1,S000003173
YGL206C,CHC1,S000003174
YGL207W,SPT16,S000003175
YGL208W,SIP2,S000003176
YGL209W,MIG2,S000003177
YGL210W,YPT32,S000003178
YGL211W,NCS6,S000003179
YGL212W,VAM7,S000003180
YGL213C,SKI8,S000003181
YGL214W,YGL214W,S000003182
YGL215W,CLG1,S000003183
YGL216W,KIP3,S000003184
YGL217C,YGL217C,S000003185
YGL218W,YGL218W,S000003186
YGL219C,MDM34,S000003187
YGL220W,FRA2,S000003188
YGL221C,NIF3,S000003189
YGL222C,EDC1,S000003190
YGL223C,COG1,S000003191
YGL224C,SDT1,S000003192
YGL225W,VRG4,S000003193
YGL226C-A,OST5,S000003194
YGL226W,MTC3,S000003195
YGL227W,VID30,S000003196
YGL228W,SHE10,S000003197
YGL229C,SAP4,S000003198
YGL230C,YGL230C,S000003199
YGL231C,EMC4,S000003200
YGL232W,TAN1,S000003201
YGL233W,SEC15,S000003202
YGL234W,ADE57,S000003203
YGL235W,YGL235W,S000003204
YGL236C,MTO1,S000003205
YGL237C,HAP2,S000003206
YGL238W,CSE1,S000003207
YGL239C,YGL239C,S000003208
YGL240W,DOC1,S000003209
YGL241W,KAP114,S000003210
YGL242C,YGL242C,S000003211
YGL243W,TAD1,S000003212
YGL244W,RTF1,S000003213
YGL245W,GUS1,S000003214
YGL246C,RAI1,S000003215
YGL247W,BRR6,S000003216
YGL248W,PDE1,S000003217
YGL249W,ZIP2,S000003218
YGL250W,RMR1,S000003219
YGL251C,HFM1,S000003220
YGL252C,RTG2,S000003221
YGL253W,HXK2,S000003222
YGL254W,FZF1,S000003223
YGL255W,ZRT1,S000003224
YGL256W,ADH4,S000003225
YGL257C,MNT2,S000003226
YGL258W,VEL1,S000003227
YGL258W-A,YGL258W-A,S000007607
YGL259W,YPS5,S000003228
YGL260W,YGL260W,S000003229
YGL261C,PAU11,S000003230
YGL262W,YGL262W,S000003231
YGL263W,COS12,S000003232
YGR001C,EFM5,S000003233
YGR002C,SWC4,S000003234
YGR003W,CUL3,S000003235
YGR004W,PEX31,S000003236
YGR005C,TFG2,S000003237
YGR006W,PRP18,S000003238
YGR007W,ECT1,S000003239
YGR008C,STF2,S000003240
YGR009C,SEC9,S000003241
YGR010W,NMA2,S000003242
YGR011W,YGR011W,S000003243
YGR012W,YGR012W,S000003244
YGR013W,SNU71,S000003245
YGR014W,MSB2,S000003246
YGR015C,YGR015C,S000003247
YGR016W,YGR016W,S000003248
YGR017W,YGR017W,S000003249
YGR018C,YGR018C,S000003250
YGR019W,UGA1,S000003251
YGR020C,VMA7,S000003252
YGR021W,YGR021W,S000003253
YGR022C,YGR022C,S000003254
YGR023W,MTL1,S000003255
YGR024C,THG1,S000003256
YGR025W,YGR025W,S000003257
YGR026W,YGR026W,S000003258
YGR027C,RPS25A,S000003259
YGR027W-A,YGR027W-A,S000007405
YGR027W-B,YGR027W-B,S000007406
YGR028W,MSP1,S000003260
YGR029W,ERV1,S000003261
YGR030C,POP6,S000003262
YGR031C-A,NAG1,S000028636
YGR031W,IMO32,S000003263
YGR032W,GSC2,S000003264
YGR033C,TIM21,S000003265
YGR034W,RPL26B,S000003266
YGR035C,YGR035C,S000003267
YGR035W-A,YGR035W-A,S000028827
YGR036C,CAX4,S000003268
YGR037C,ACB1,S000003269
YGR038C-A,YGR038C-A,S000007407
YGR038C-B,YGR038C-B,S000007408
YGR038W,ORM1,S000003270
YGR039W,YGR039W,S000003271
YGR040W,KSS1,S000003272
YGR041W,BUD9,S000003273
YGR042W,YGR042W,S000003274
YGR043C,NQM1,S000003275
YGR044C,RME1,S000003276
YGR045C,YGR045C,S000003277
YGR046W,TAM41,S000003278
YGR047C,TFC4,S000003279
YGR048W,UFD1,S000003280
YGR049W,SCM4,S000003281
YGR050C,YGR050C,S000003282
YGR051C,YGR051C,S000003283
YGR052W,FMP48,S000003284
YGR053C,YGR053C,S000003285
YGR054W,YGR054W,S000003286
YGR055W,MUP1,S000003287
YGR056W,RSC1,S000003288
YGR057C,LST7,S000003289
YGR058W,PEF1,S000003290
YGR059W,SPR3,S000003291
YGR060W,ERG25,S000003292
YGR061C,ADE6,S000003293
YGR062C,COX18,S000003294
YGR063C,SPT4,S000003295
YGR064W,YGR064W,S000003296
YGR065C,VHT1,S000003297
YGR066C,YGR066C,S000003298
YGR067C,YGR067C,S000003299
YGR068C,ART5,S000003300
YGR068W-A,YGR068W-A,S000028637
YGR069W,YGR069W,S000003301
YGR070W,ROM1,S000003302
YGR071C,ENV11,S000003303
YGR072W,UPF3,S000003304
YGR073C,YGR073C,S000003305
YGR074W,SMD1,S000003306
YGR075C,PRP38,S000003307
YGR076C,MRPL25,S000003308
YGR077C,PEX8,S000003309
YGR078C,PAC10,S000003310
YGR079W,YGR079W,S000003311
YGR080W,TWF1,S000003312
YGR081C,SLX9,S000003313
YGR082W,TOM20,S000003314
YGR083C,GCD2,S000003315
YGR084C,MRP13,S000003316
YGR085C,RPL11B,S000003317
YGR086C,PIL1,S000003318
YGR087C,PDC6,S000003319
YGR088W,CTT1,S000003320
YGR089W,NNF2,S000003321
YGR090W,UTP22,S000003322
YGR091W,PRP31,S000003323
YGR092W,DBF2,S000003324
YGR093W,DRN1,S000003325
YGR094W,VAS1,S000003326
YGR095C,RRP46,S000003327
YGR096W,TPC1,S000003328
YGR097W,ASK10,S000003329
YGR098C,ESP1,S000003330
YGR099W,TEL2,S000003331
YGR100W,MDR1,S000003332
YGR101W,PCP1,S000003333
YGR102C,GTF1,S000003334
YGR103W,NOP7,S000003335
YGR104C,SRB5,S000003336
YGR105W,VMA21,S000003337
YGR106C,VOA1,S000003338
YGR107W,YGR107W,S000003339
YGR108W,CLB1,S000003340
YGR109C,CLB6,S000003341
YGR109W-A,YGR109W-A,S000007346
YGR109W-B,YGR109W-B,S000007347
YGR110W,CLD1,S000003342
YGR111W,YGR111W,S000003343
YGR112W,SHY1,S000003344
YGR113W,DAM1,S000003345
YGR114C,YGR114C,S000003346
YGR115C,YGR115C,S000003347
YGR116W,SPT6,S000003348
YGR117C,YGR117C,S000003349
YGR118W,RPS23A,S000003350
YGR119C,NUP57,S000003351
YGR120C,COG2,S000003352
YGR121C,MEP1,S000003353
YGR121W-A,YGR121W-A,S000028550
YGR122C-A,YGR122C-A,S000007240
YGR122W,YGR122W,S000003354
YGR123C,PPT1,S000003355
YGR124W,ASN2,S000003356
YGR125W,YGR125W,S000003357
YGR126W,YGR126W,S000003358
YGR127W,YGR127W,S000003359
YGR128C,UTP8,S000003360
YGR129W,SYF2,S000003361
YGR130C,YGR130C,S000003362
YGR131W,FHN1,S000003363
YGR132C,PHB1,S000003364
YGR133W,PEX4,S000003365
YGR134W,CAF130,S000003366
YGR135W,PRE9,S000003367
YGR136W,LSB1,S000003368
YGR137W,YGR137W,S000003369
YGR138C,TPO2,S000003370
YGR139W,YGR139W,S000003371
YGR140W,CBF2,S000003372
YGR141W,VPS62,S000003373
YGR142W,BTN2,S000003374
YGR143W,SKN1,S000003375
YGR144W,THI4,S000003376
YGR145W,ENP2,S000003377
YGR146C,ECL1,S000003378
YGR146C-A,YGR146C-A,S000028638
YGR147C,NAT2,S000003379
YGR148C,RPL24B,S000003380
YGR149W,YGR149W,S000003381
YGR150C,CCM1,S000003382
YGR151C,YGR151C,S000003383
YGR152C,RSR1,S000003384
YGR153W,YGR153W,S000003385
YGR154C,GTO1,S000003386
YGR155W,CYS4,S000003387
YGR156W,PTI1,S000003388
YGR157W,CHO2,S000003389
YGR158C,MTR3,S000003390
YGR159C,NSR1,S000003391
YGR160W,YGR160W,S000003392
YGR161C,RTS3,S000003393
