systematic,gene,sgd
YBR094W,PBY1,S000000298
YBR095C,RXT2,S000000299
YBR096W,YBR096W,S000000300
YBR097W,VPS15,S000000301
YBR098W,MMS4,S000000302
YBR099C,YBR099C,S000000303
YBR101C,FES1,S000000305
YBR102C,EXO84,S000000306
YBR103C-A,YBR103C-A,S000007593
YBR103W,SIF2,S000000307
YBR104W,YMC2,S000000308
YBR105C,VID24,S000000309
YBR106W,PHO88,S000000310
YBR107C,IML3,S000000311
YBR108W,AIM3,S000000312
YBR109C,CMD1,S000000313
YBR109W-A,YBR109W-A,S000028737
YBR110W,ALG1,S000000314
YBR111C,YSA1,S000000315
YBR111W-A,SUS1,S000028510
YBR112C,CYC8,S000000316
YBR113W,YBR113W,S000000317
YBR114W,RAD16,S000000318
YBR115C,LYS2,S000000319
YBR116C,YBR116C,S000000320
YBR117C,TKL2,S000000321
YBR118W,TEF2,S000000322
YBR119W,MUD1,S000000323
YBR120C,CBP6,S000000324
YBR121C,GRS1,S000000325
YBR121C-A,YBR121C-A,S000028815
YBR122C,MRPL36,S000000326
YBR123C,TFC1,S000000327
YBR124W,YBR124W,S000000328
YBR125C,PTC4,S000000329
YBR126C,TPS1,S000000330
YBR126W-A,YBR126W-A,S000028600
YBR126W-B,YBR126W-B,S000028738
YBR127C,VMA2,S000000331
YBR128C,ATG14,S000000332
YBR129C,OPY1,S000000333
YBR130C,SHE3,S000000334
YBR131C-A,YBR131C-A,S000028601
YBR131W,CCZ1,S000000335
YBR132C,AGP2,S000000336
YBR133C,HSL7,S000000337
YBR134W,YBR134W,S000000338
YBR135W,CKS1,S000000339
YBR136W,MEC1,S000000340
YBR137W,YBR137W,S000000341
YBR138C,YBR138C,S000000342
YBR139W,YBR139W,S000000343
YBR140C,IRA1,S000000344
YBR141C,BMT2,S000000345
YBR141W-A,YBR141W-A,S000028602
YBR142W,MAK5,S000000346
YBR143C,SUP45,S000000347
YBR144C,YBR144C,S000000348
YBR145W,ADH5,S000000349
YBR146W,MRPS9,S000000350
YBR147W,RTC2,S000000351
YBR148W,YSW1,S000000352
YBR149W,ARA1,S000000353
YBR150C,TBS1,S000000354
YBR151W,APD1,S000000355
YBR152W,SPP381,S000000356
YBR153W,RIB7,S000000357
YBR154C,RPB5,S000000358
YBR155W,CNS1,S000000359
YBR156C,SLI15,S000000360
YBR157C,ICS2,S000000361
YBR158W,AMN1,S000000362
YBR159W,IFA38,S000000363
YBR160W,CDC28,S000000364
YBR161W,CSH1,S000000365
YBR162C,TOS1,S000000366
YBR162W-A,YSY6,S000002158
YBR163W,EXO5,S000000367
YBR164C,ARL1,S000000368
YBR165W,UBS1,S000000369
YBR166C,TYR1,S000000370
YBR167C,POP7,S000000371
YBR168W,PEX32,S000000372
YBR169C,SSE2,S000000373
YBR170C,NPL4,S000000374
YBR171W,SEC66,S000000375
YBR172C,SMY2,S000000376
YBR173C,UMP1,S000000377
YBR174C,YBR174C,S000000378
YBR175W,SWD3,S000000379
YBR176W,ECM31,S000000380
YBR177C,EHT1,S000000381
YBR178W,YBR178W,S000000382
