gene,orf,no. of probes,measurments,F-statistic,#NAME?,difference,YPD,YPDGE,YPG,YPE,YPL
his1,YER055C,4,44,1.57139,0.69128,0.03466,0.98598,1.01186,1.02063,0.99009,1.01506
fcy2,YER056C,4,43,11.2716,5.20355,0.09305,0.95128,0.98809,1.04433,1.03273,1.03584
RPL34A,YER056C-A,4,44,11.71718,5.41625,0.12847,0.71837,0.69135,0.81981,0.80836,0.81578
HIG1,YER057C,4,44,3.66027,1.86635,0.05177,0.97869,1.01057,1.01835,1.02262,1.03046
PET117,YER058W,4,44,262.20148,24.83676,0.32031,0.84969,0.83101,0.57928,0.52938,0.57623
PCL6,YER059W,4,44,1.69132,0.75934,0.02052,0.98377,0.99214,1.00372,0.9832,0.9978
FCY21,YER060W,3,33,1.77058,0.77895,0.04065,0.99749,1.02051,1.03815,1.01719,1.0368
FCY22,YER060W-A,4,44,4.25605,2.18461,0.06389,0.99189,1.04218,1.04845,1.05421,1.05579
CEM1,YER061C,4,44,76.11332,16.04486,0.23119,0.76161,0.73876,0.5631,0.53042,0.55746
HOR2,YER062C,4,44,1.42645,0.6096,0.03697,0.99613,0.98625,1.00665,0.96967,0.98821
THO1,YER063W,2,22,1.04345,0.37924,0.06509,1.01422,1.06142,1.06659,1.067,1.07931
YER064C,YER064C,4,44,0.57325,0.16506,0.03481,0.98779,1.0033,1.0226,0.9971,0.99532
ICL1,YER065C,4,44,0.95889,0.35442,0.02464,0.99765,0.99705,1.0217,1.00572,1.00224
YER066C-A,YER066C-A,4,44,0.41295,0.09795,0.02445,0.96256,0.94118,0.95732,0.93811,0.94375
YER066W,YER066W,4,44,2.05741,0.96835,0.0411,1.00184,1.02638,1.04295,1.02951,1.04276
YER067C-A,YER067C-A,4,44,2.14096,1.01612,0.04815,1.00296,1.03768,1.05111,1.0336,1.03775
YER067W,YER067W,4,44,0.8406,0.29338,0.02653,0.99012,1.00561,1.01664,1.00866,1.01276
YER068C-A,YER068C-A,2,22,1.29182,0.49854,0.09105,1.01162,1.07303,1.08105,1.09186,1.10267
MOT2,YER068W,3,20,5.88488,2.13247,0.10898,0.73032,0.62977,0.72725,0.62134,0.6564
"arg5,6",YER069W,4,44,0.95243,0.35104,0.03743,0.99399,1.01246,1.03142,1.03062,1.02899
RNR1,YER070W,0,0,,,,,,,,
YER071C,YER071C,4,44,2.14226,1.01686,0.04217,0.98878,1.00788,1.03095,1.00641,1.01244
VTC1,YER072W,4,44,8.4999,4.17531,0.0658,0.96841,0.97786,1.01464,0.98434,1.03421
ALD5,YER073W,4,42,19.03532,7.47405,0.11251,0.99598,1.03513,1.09609,1.10849,1.09342
RPS24A,YER074W,4,43,51.17655,13.19601,0.16772,0.83561,0.85911,1.00333,0.98328,0.99622
PTP3,YER075C,4,44,4.07463,2.08874,0.08946,1.00367,1.04818,1.04082,1.09313,1.06792
YER077C,YER077C,2,16,3.00337,1.10416,0.1548,0.6678,0.62109,0.51659,0.513,0.61029
YER078C,YER078C,3,33,3.15231,1.50169,0.03955,0.98003,1.01876,1.01958,0.98962,1.01847
YER079W,YER079W,4,44,0.93128,0.34,0.03086,0.99429,1.01743,1.02515,1.00873,1.01845
YER080W,YER080W,4,43,1.06439,0.40987,0.03391,1.00406,1.01137,1.03797,1.02308,1.03128
SER3,YER081W,4,44,4.23456,2.1733,0.0484,1.00512,1.00541,1.01284,0.96445,0.97178
YER082C,YER082C,0,0,,,,,,,,
YER083C,YER083C,4,41,6.22719,3.09721,0.10169,0.93832,0.9554,0.85372,0.8936,0.89231
YER084W,YER084W,4,43,0.5118,0.13821,0.02916,0.98883,1.01776,0.9886,1.00488,1.00014
YER085C,YER085C,4,44,1.44593,0.62053,0.04233,1.00369,1.04521,1.04184,1.04105,1.04602
ilv1,YER086W,4,44,6.00148,3.05994,0.05641,0.9812,0.99378,1.00673,0.95032,0.96613
SBH1,YER087C-A,4,44,0.9485,0.34898,0.0208,0.99931,0.99491,1.00132,0.98052,0.9813
YER087W,YER087W,3,32,56.37741,11.12895,0.30193,0.95433,0.85618,0.7432,0.6524,0.70736
DOT6,YER088C,4,44,0.34234,0.07186,0.02631,0.99434,1.00716,1.00333,1.00551,1.02065
PTC2,YER089C,4,44,0.71009,0.22874,0.02606,0.9971,1.01369,1.02317,1.00906,1.00721
trp2,YER090W,4,44,3.98734,2.04228,0.08204,0.99106,1.02552,1.06105,1.07311,1.06907
met6,YER091C,4,44,0.52955,0.14584,0.02071,0.99914,0.99054,1.00554,0.98483,0.99139
YER091C-A,YER091C-A,4,44,1.31922,0.54973,0.02983,1.02366,1.03036,1.02373,1.05349,1.03332
YER092W,YER092W,4,44,7.75098,3.85654,0.09271,0.97393,0.93399,0.91703,0.88123,0.92119
YER093C,YER093C,0,0,,,,,,,,
YER093C-A,YER093C-A,4,39,32.97827,9.86115,0.16694,0.9733,0.96315,0.86407,0.91038,0.80636
PUP3,YER094C,0,0,,,,,,,,
rad51,YER095W,2,22,7.68812,2.85131,0.15814,0.76159,0.74027,0.89841,0.83418,0.8479
shc1,YER096W,4,44,0.71651,0.23184,0.03345,1.01614,1.04287,1.04901,1.04528,1.04959
YER097W,YER097W,4,44,3.22918,1.63014,0.05681,1.00542,1.03392,1.04616,1.05307,1.06223
UBP9,YER098W,4,44,1.22595,0.49817,0.02564,1.00186,1.01785,1.02749,1.02335,1.0168
AST2,YER101C,4,44,2.54124,1.24423,0.02839,1.00486,1.02478,1.03325,1.01287,1.01809
SSA4,YER103W,4,44,1.68872,0.75787,0.02875,0.998,1.00201,1.01136,0.98261,0.99237
RTT105,YER104W,0,0,,,,,,,,
YER106W,YER106W,2,22,1.42862,0.56437,0.04354,1.00745,1.04603,1.05099,1.03089,1.03998
GLE2,YER107C,0,0,,,,,,,,
YER108C,YER108C,4,44,12.8243,5.80175,0.04442,1.00285,1.00957,1.01917,0.97476,0.9839
FLO8,YER109C,4,44,2.64164,1.30113,0.03586,1.00508,1.03317,1.04093,1.00828,1.02113
KAP123,YER110C,4,44,55.07882,13.8958,0.29101,0.90109,0.85216,0.78046,0.61008,0.75117
SWI4,YER111C,4,34,1.59318,0.68376,0.03998,0.90311,0.86314,0.87281,0.87465,0.89283
LSM4,YER112W,0,0,,,,,,,,
YER113C,YER113C,4,44,4.29083,2.20288,0.07879,0.98202,1.02957,1.04751,1.04074,1.06081
BOI2,YER114C,4,44,0.55642,0.15758,0.02751,0.98539,1.00161,1.0129,0.98828,0.99949
spr6,YER115C,4,44,1.83562,0.84159,0.03104,0.99122,1.01499,1.01518,0.98413,1.00387
YER116C,YER116C,3,31,1.26214,0.50397,0.05987,0.73156,0.75509,0.79143,0.76234,0.76425
RPL23B,YER117W,2,22,14.95346,4.38931,0.11938,0.8808,0.92099,1.00019,0.99001,0.99917
SHO1,YER118C,4,44,2.55372,1.25132,0.05137,0.98645,1.02766,1.03714,1.01791,1.03782
YER119C,YER119C,4,44,1.56795,0.68934,0.0426,1.0085,1.0483,1.0511,1.03504,1.04511
YER119C-A,YER119C-A,4,44,8.25536,4.0726,0.07998,0.97353,1.01079,1.05351,1.03219,1.03172
SCS2,YER120W,4,44,2.88318,1.43727,0.06221,0.98781,1.02883,1.05002,1.03735,1.04097
YER121W,YER121W,4,43,3.73496,1.89746,0.08181,0.98783,1.04904,1.0514,1.06747,1.06964
GLO3,YER122C,3,21,4.25838,1.69296,0.14957,0.73453,0.68312,0.64575,0.63158,0.58496
YCK3,YER123W,4,44,1.23871,0.50519,0.04904,0.98281,0.9932,1.01463,1.0253,1.03185
YER124C,YER124C,4,43,0.92695,0.33742,0.05013,1.01185,1.04074,1.05227,1.05859,1.06198
RSP5,YER125W,0,0,,,,,,,,
