gene,orf,no. of probes,measurments,F-statistic,#NAME?,difference,YPD,YPDGE,YPG,YPE,YPL
YLL014W,YLL014W,4,44,0.55036,0.15491,0.02517,1.00613,1.01743,1.0313,1.01429,1.02137
BPT1,YLL015W,4,44,0.26753,0.04728,0.01651,1.0061,0.99576,1.00352,0.98959,0.99672
SDC25,YLL016W,4,44,0.05909,0.00295,0.01025,1.0159,1.01175,1.0173,1.022,1.01716
YLL017W,YLL017W,4,44,1.22872,0.49969,0.03557,1.00912,1.02463,1.03299,1.04469,1.0387
DPS1,YLL018C,0,0,,,,,,,,
COX19,YLL018C-A,1,6,0,0,0.1649,0.83726,0.83292,0.71303,0.67236,0.72575
kns1,YLL019C,4,44,0.37879,0.08501,0.01804,0.99383,1.00138,0.99778,0.99193,0.98334
YLL020C,YLL020C,4,44,0.66637,0.20788,0.0313,0.99218,1.00442,0.98938,0.98701,0.97312
spa2,YLL021W,4,44,4.21675,2.16392,0.04467,0.9811,0.99256,0.99272,0.94805,0.96439
YLL023C,YLL023C,2,22,1.80295,0.74275,0.03197,0.99879,1.00369,1.01356,0.98159,0.98735
SSA2,YLL024C,4,44,1.43742,0.61575,0.01633,0.98718,0.99789,1.00181,1.00351,0.99554
YLL025W,YLL025W,2,22,0.65165,0.19753,0.02325,1.00624,1.02401,1.02949,1.01582,1.0128
hsp104,YLL026W,4,44,3.07306,1.54345,0.05241,1.00625,1.04718,1.05012,1.05866,1.05536
ISA1,YLL027W,4,28,26.4556,6.80978,0.19006,0.78536,0.73746,0.68344,0.59531,0.6225
TPO1,YLL028W,4,44,2.22618,1.06481,0.05093,1.00309,1.03995,1.05402,1.05373,1.04343
YLL029W,YLL029W,2,22,1.24512,0.47605,0.05798,1.00629,1.05086,1.04302,1.05656,1.06427
YLL030C,YLL030C,4,44,4.99743,2.56677,0.07099,1.00718,1.0626,1.05963,1.07641,1.07817
GPI13,YLL031C,0,0,,,,,,,,
YLL032C,YLL032C,4,44,3.3442,1.69362,0.02647,0.99762,1.01636,1.0229,0.99643,1.00706
YLL033W,YLL033W,4,35,11.13789,4.67171,0.21031,0.67296,0.4809,0.50373,0.46435,0.46265
YLL034C,YLL034C,0,0,,,,,,,,
GRC3,YLL035W,0,0,,,,,,,,
PRP19,YLL036C,0,0,,,,,,,,
YLL037W,YLL037W,0,0,,,,,,,,
ENT4,YLL038C,4,44,1.68387,0.75511,0.02755,0.99313,1.01459,1.01726,1.02068,1.01542
UBI4,YLL039C,4,44,1.18576,0.47613,0.01911,0.98527,1.00438,0.99368,0.98965,1.00378
VPS13,YLL040C,2,22,5.93158,2.34156,0.13647,1.00764,1.08268,1.10267,1.14215,1.14411
SDH2,YLL041C,4,44,95.65225,17.61098,0.34606,0.94299,0.96791,0.70508,0.85011,0.62186
apg10,YLL042C,4,44,3.07292,1.54337,0.05466,1.00739,1.05337,1.05507,1.06205,1.05322
FPS1,YLL043W,4,44,6.06443,3.08995,0.07706,0.98,1.03136,1.05706,1.03813,1.03467
YLL044W,YLL044W,4,44,58.32363,14.26954,0.16669,0.84778,0.89766,1.01447,1.01272,0.99646
RPL8B,YLL045C,4,44,21.07364,8.19368,0.18191,0.84218,0.91823,1.01743,1.02409,1.01545
RNP1,YLL046C,4,44,0.71736,0.23225,0.02062,1.0137,1.02857,1.03293,1.01232,1.01991
YLL047W,YLL047W,4,44,4.91824,2.52668,0.05095,1.00524,1.03684,1.04716,1.05619,1.05458
ybt1,YLL048C,4,44,0.21072,0.03117,0.01667,1.01584,1.02842,1.03251,1.02548,1.03077
YLL049W,YLL049W,4,44,1.8119,0.82806,0.03214,1.00674,1.02473,1.03888,1.00788,1.0292
COF1,YLL050C,0,0,,,,,,,,
FRE6,YLL051C,3,33,0.84475,0.2923,0.04217,1.01145,1.03986,1.04786,1.04706,1.05362
AQY2,YLL052C,4,44,0.56571,0.1617,0.03875,1.01863,1.05738,1.05455,1.04099,1.03867
YLL053C,YLL053C,4,44,0.95445,0.3521,0.02894,1.02021,1.04915,1.04638,1.03127,1.03685
YLL054C,YLL054C,4,40,0.6801,0.21396,0.04152,1.02658,1.05706,1.06635,1.06768,1.06811
YLL055W,YLL055W,3,33,3.34582,1.59849,0.04084,1.00624,0.98761,1.00122,0.9654,0.97293
YLL056C,YLL056C,4,44,2.32114,1.119,0.03551,1.00887,1.0348,1.04439,1.04091,1.03839
YLL057C,YLL057C,2,22,0.66736,0.20448,0.02106,1.01385,1.02806,1.03491,1.01837,1.02752
YLL058W,YLL058W,4,44,6.43527,3.26463,0.07385,1.01208,1.05242,1.0555,1.08593,1.06953
YLL059C,YLL059C,4,44,1.04577,0.40042,0.0314,1.0162,1.0361,1.02952,1.0476,1.03965
GTT2,YLL060C,4,44,0.32183,0.06478,0.02122,1.00487,1.0071,1.0158,0.99459,0.99574
MMP1,YLL061W,4,44,3.52169,1.79094,0.03361,1.00768,0.9977,1.00575,0.97408,0.9796
MHT1,YLL062C,4,44,0.82784,0.28692,0.03788,1.00555,1.02074,1.04343,1.03385,1.03241
AYT1,YLL063C,4,44,5.38992,2.76284,0.03412,1.0075,1.01314,1.02079,0.98667,0.99287
YLR001C,YLR001C,4,44,0.92347,0.33593,0.0291,1.01022,1.03065,1.02795,1.02491,1.03932
YLR002C,YLR002C,0,0,,,,,,,,
YLR003C,YLR003C,4,44,5.06764,2.60216,0.03529,1.0093,1.0194,1.02137,0.98609,0.98665
YLR004C,YLR004C,4,44,2.17315,1.03452,0.032,1.00508,1.0011,1.00758,0.97558,0.97848
SSL1,YLR005W,0,0,,,,,,,,
SSK1,YLR006C,4,44,5.61918,2.87541,0.05103,0.99072,1.00267,1.03244,0.98141,0.99481
YLR007W,YLR007W,0,0,,,,,,,,
YLR008C,YLR008C,0,0,,,,,,,,
YLR009W,YLR009W,0,0,,,,,,,,
YLR010C,YLR010C,0,0,,,,,,,,
YLR011W,YLR011W,4,44,2.80412,1.39283,0.05053,1.01724,1.06353,1.06612,1.06777,1.05541
YLR012C,YLR012C,4,44,0.59196,0.17347,0.03323,0.99825,1.01738,1.03148,1.0176,1.01432
GAT3,YLR013W,4,44,1.61435,0.71562,0.03561,1.02141,1.04729,1.05175,1.05702,1.04831
ppr1,YLR014C,2,22,0.25803,0.04565,0.00841,1.00714,1.00815,1.00845,1.00005,1.00027
BRE2,YLR015W,4,44,2.96131,1.48105,0.03586,0.99991,1.00651,1.03578,1.01722,1.01774
YLR016C,YLR016C,4,44,1.08039,0.41897,0.03554,1.0229,1.05598,1.05844,1.03504,1.03224
MEU1,YLR017W,4,44,6.56898,3.32674,0.07458,1.01054,1.06991,1.07589,1.08512,1.07826
POM34,YLR018C,4,44,14.82479,6.45334,0.09396,0.96188,1.01656,1.0474,1.05584,1.05134
PSR2,YLR019W,4,44,3.81141,1.94801,0.0519,1.02711,1.07724,1.07497,1.07336,1.079
YLR020C,YLR020C,4,44,0.57814,0.16724,0.02229,1.01279,1.03377,1.03508,1.0235,1.02282
YLR021W,YLR021W,4,44,7.38556,3.69635,0.07589,0.97439,1.01637,1.05027,1.04486,1.03517
YLR022C,YLR022C,0,0,,,,,,,,
YLR023C,YLR023C,4,43,1.69914,0.76202,0.0479,1.03214,1.06777,1.07212,1.07848,1.08005
UBR2,YLR024C,4,44,6.15259,3.13181,0.05815,0.97476,0.99838,0.96774,1.02589,1.01356
snf7,YLR025W,4,44,12.75459,5.77804,0.10174,0.95262,0.94812,0.90607,0.91995,1.00781
SED5,YLR026C,0,0,,,,,,,,
AAT2,YLR027C,4,44,22.65461,8.57794,0.20128,0.91427,0.8075,0.76973,0.71299,0.8817
ADE16,YLR028C,2,22,0.95671,0.33798,0.06116,1.01885,1.06991,1.07847,1.08001,1.07342
RPL15A,YLR029C,0,0,,,,,,,,
YLR030W,YLR030W,4,44,3.05252,1.532,0.05455,1.01978,1.05672,1.05232,1.07432,1.06876
YLR031W,YLR031W,4,44,1.22377,0.49697,0.03035,1.00661,1.02428,1.01932,1.03696,1.0252
RAD5,YLR032W,4,44,25.27377,9.17494,0.11055,0.97138,0.99971,1.0306,1.08193,1.06443
YLR033W,YLR033W,0,0,,,,,,,,
SMF3,YLR034C,4,44,1.29047,0.53378,0.03048,1.02372,1.0437,1.03838,1.05419,1.04884
MLH2,YLR035C,4,44,1.87153,0.8621,0.02204,1.00261,1.01843,1.02314,1.02465,1.02459
YLR036C,YLR036C,4,44,0.49714,0.132,0.02551,1.01428,1.03245,1.03078,1.03721,1.03979
YLR037C,YLR037C,4,44,2.11824,1.00313,0.03021,1.00878,1.02065,1.01623,1.03899,1.03596
COX12,YLR038C,4,43,212.78092,22.8247,0.38302,0.94908,0.90715,0.57882,0.56606,0.59976
RIC1,YLR039C,2,22,4.02373,1.68589,0.03077,0.96523,0.93748,0.93866,0.93699,0.96776
YLR040C,YLR040C,4,44,2.25387,1.08062,0.0457,1.00278,1.03236,1.02988,1.04848,1.04394
YLR041W,YLR041W,4,44,0.35228,0.07538,0.00937,1.01049,1.01281,1.01064,1.00461,1.00344
YLR042C,YLR042C,4,44,2.88904,1.44055,0.02508,1.01064,1.0179,1.01002,0.99282,0.99403
trx1,YLR043C,4,44,0.21191,0.03148,0.01832,1.0188,1.03415,1.01593,1.03426,1.03087
pdc1,YLR044C,4,44,1.39429,0.59158,0.02678,0.98712,0.98728,0.99617,0.96939,0.97554
STU2,YLR045C,0,0,,,,,,,,
YLR046C,YLR046C,4,44,5.28694,2.71181,0.08422,1.00947,1.06624,1.05704,1.09369,1.08505
YLR047C,YLR047C,4,44,0.34466,0.07268,0.01385,1.00887,1.02091,1.01736,1.01688,1.02271
RPS0B,YLR048W,4,42,21.54985,8.09138,0.19669,0.68812,0.72609,0.8848,0.85465,0.8648
YLR049C,YLR049C,4,44,1.32911,0.55522,0.0214,0.99659,0.99373,0.99512,0.97518,0.97775
YLR050C,YLR050C,4,44,3.95292,2.0239,0.04014,0.99553,1.0235,1.02109,1.03567,1.0293
YLR051C,YLR051C,0,0,,,,,,,,
YLR052W,YLR052W,3,32,16.76021,5.95546,0.19724,0.77105,0.86961,0.9397,0.96569,0.96829
YLR053C,YLR053C,4,44,2.79256,1.38632,0.02401,1.00442,1.02843,1.02269,1.01017,1.01334
YLR054C,YLR054C,4,44,4.75865,2.44537,0.0656,0.98769,1.02846,1.02147,1.05329,1.04922
spt8,YLR055C,3,33,5.60641,2.63639,0.05828,0.94902,0.93998,0.89074,0.91863,0.94582
ERG3,YLR056W,4,44,2.44965,1.1922,0.0328,0.90883,0.89554,0.87603,0.88258,0.90605
YLR057W,YLR057W,4,44,2.36704,1.14517,0.03882,0.99988,1.00619,1.01536,0.97654,0.98113
SHM2,YLR058C,4,44,0.63234,0.19196,0.0186,1.00561,1.01824,1.01052,0.99963,1.0045
REX2,YLR059C,4,44,20.17221,7.96565,0.11394,0.98281,0.96306,0.91386,0.86887,0.89006
FRS1,YLR060W,0,0,,,,,,,,
RPL22A,YLR061W,2,21,1.04358,0.37704,0.1102,0.68769,0.65062,0.73348,0.71033,0.76083
YLR062C,YLR062C,0,0,,,,,,,,
YLR063W,YLR063W,2,22,2.16363,0.91033,0.04791,0.99189,0.98081,0.9881,0.94397,0.94644
YLR064W,YLR064W,4,44,1.0126,0.38276,0.03141,1.00408,1.02436,1.03293,1.0142,1.00152
YLR065C,YLR065C,2,22,0.49555,0.13117,0.02833,0.95147,0.97395,0.94687,0.94561,0.94642
SPC3,YLR066W,0,0,,,,,,,,
PET309,YLR067C,2,15,43.27581,4.736,0.14088,0.67893,0.56597,0.53805,0.58592,0.6386
YLR068W,YLR068W,4,44,45.27669,12.64055,0.22504,0.72818,0.79785,0.95321,0.93395,0.94098
MEF1,YLR069C,4,44,6.57033,3.32737,0.12732,0.58169,0.53432,0.50873,0.45438,0.5009
YLR070C,YLR070C,4,44,9.82843,4.71146,0.09321,1.00382,1.0578,1.03577,1.09703,1.08767
rgr1,YLR071C,0,0,,,,,,,,
YLR072W,YLR072W,4,44,0.15781,0.01857,0.01145,1.00032,1.01177,1.00281,1.00318,1.001
YLR073C,YLR073C,2,21,4.09342,1.67575,0.17732,0.99179,1.07878,1.08415,1.16911,1.15068
BUD20,YLR074C,2,22,8.1273,2.96754,0.19993,0.75309,0.78654,0.95302,0.91908,0.90087
RPL10,YLR075W,0,0,,,,,,,,
YLR076C,YLR076C,0,0,,,,,,,,
YLR077W,YLR077W,4,44,13.14697,5.91062,0.13517,0.99697,1.01451,0.87934,0.93125,0.96892
BOS1,YLR078C,0,0,,,,,,,,
SIC1,YLR079W,2,18,0.70851,0.21985,0.04799,0.85308,0.86641,0.81843,0.83847,0.84077
YLR080W,YLR080W,4,44,0.70944,0.22843,0.02127,0.99004,0.99145,0.97282,0.98266,0.99409
gal2,YLR081W,4,43,2.47198,1.20077,0.05235,1.00632,1.04924,1.02516,1.05866,1.05431
SRL2,YLR082C,4,44,1.21959,0.49467,0.01945,0.9979,1.00843,0.99869,1.01735,1.01119
EMP70,YLR083C,3,24,62.94713,8.85883,0.2287,0.91222,0.89382,0.69926,0.68352,0.69409
RAX2,YLR084C,2,17,2.24297,0.86363,0.15789,0.98928,1.05478,1.0445,1.14717,1.1259
ARP6,YLR085C,2,22,6.59053,2.5419,0.09233,0.91862,0.97372,1.00773,0.96677,1.01095
SMC4,YLR086W,0,0,,,,,,,,
YLR087C,YLR087C,3,29,16.66632,5.56288,0.1469,0.92161,0.92746,0.85921,0.78057,0.89741
GAA1,YLR088W,0,0,,,,,,,,
YLR089C,YLR089C,4,44,9.67363,4.65081,0.092,0.98581,1.01989,0.92789,0.99409,1.00303
XDJ1,YLR090W,3,32,3.23878,1.53299,0.10241,0.99922,1.06319,1.05476,1.10163,1.09063
YLR091W,YLR091W,4,35,10.97253,4.62068,0.10616,0.68115,0.6498,0.59896,0.57499,0.59328
SUL2,YLR092W,4,44,0.15207,0.01736,0.01447,0.99672,1.01075,1.01118,1.00377,1.00906
NYV1,YLR093C,2,22,3.74616,1.57954,0.04931,1.00482,1.00167,0.97968,0.95551,0.95705
GIS3,YLR094C,4,44,0.25284,0.04289,0.01083,1.00845,1.01492,1.00672,1.01308,1.01756
IOC2,YLR095C,4,44,1.34361,0.56329,0.0459,1.01235,1.04772,1.04128,1.05825,1.05805
KIN2,YLR096W,2,22,0.86738,0.29592,0.03826,1.01394,1.04222,1.02852,1.0522,1.04719
YLR097C,YLR097C,4,44,4.07434,2.08858,0.04095,1.00549,1.02045,1.0209,1.04644,1.04497
CHA4,YLR098C,4,44,2.37457,1.14946,0.07432,0.99704,1.04002,1.0385,1.07136,1.05889
ICT1,YLR099C,4,44,0.84432,0.29527,0.01511,0.98219,0.98529,0.98374,0.97593,0.97018
ERG27,YLR100W,0,0,,,,,,,,
YLR101C,YLR101C,0,0,,,,,,,,
APC9,YLR102C,4,44,2.60479,1.28027,0.03241,0.99417,0.98127,1.00514,0.97272,0.97328
CDC45,YLR103C,0,0,,,,,,,,
YLR104W,YLR104W,4,44,8.95163,4.36167,0.06373,1.01538,0.9893,0.99177,0.95165,0.96144
SEN2,YLR105C,0,0,,,,,,,,
YLR106C,YLR106C,0,0,,,,,,,,
REX3,YLR107W,4,44,1.33775,0.56003,0.0251,0.99463,0.99528,0.99875,0.97979,0.97365
YLR108C,YLR108C,4,44,2.0934,0.98893,0.02819,1.0112,1.0124,1.01886,0.99253,0.99067
AHP1,YLR109W,4,44,2.32453,1.12094,0.06203,1.00328,1.04965,1.04279,1.06531,1.06494
YLR110C,YLR110C,4,44,43.67603,12.41439,0.15075,0.83488,0.78001,0.9227,0.93076,0.92739
YLR111W,YLR111W,4,44,6.50985,3.29934,0.0707,0.86373,0.92553,0.91084,0.93443,0.90801
YLR112W,YLR112W,4,44,2.51411,1.22883,0.04137,1.00563,1.02995,1.02753,1.04522,1.047
HOG1,YLR113W,4,44,12.78621,5.7888,0.11902,0.99147,1.07133,1.07549,1.11049,1.10554
EFR4,YLR114C,4,44,9.5854,4.61603,0.09658,0.98977,1.04843,1.04034,1.08635,1.08248
CFT2,YLR115W,0,0,,,,,,,,
MSL5,YLR116W,0,0,,,,,,,,
CLF1,YLR117C,0,0,,,,,,,,
YLR118C,YLR118C,4,44,2.24294,1.07438,0.05258,1.00251,1.04864,1.04281,1.05509,1.05012
SRN2,YLR119W,4,44,9.11169,4.42668,0.07577,0.97687,0.91623,0.91558,0.9011,0.95616
YPS1,YLR120C,4,44,12.21153,5.59074,0.11948,1.00746,1.07269,1.06586,1.12694,1.12007
YPS3,YLR121C,4,44,0.2644,0.04633,0.01083,0.99612,0.99952,0.98869,0.99765,0.99704
YLR122C,YLR122C,4,44,0.38572,0.08759,0.03483,1.0126,1.03401,1.02661,1.04743,1.04337
YLR123C,YLR123C,4,44,1.62084,0.71931,0.04187,1.02216,1.05641,1.05109,1.06403,1.05847
YLR124W,YLR124W,4,44,1.4837,0.64177,0.02839,1.00799,1.03152,1.01871,1.03637,1.03081
YLR125W,YLR125W,2,22,1.62184,0.65689,0.04606,1.01645,1.04844,1.0356,1.06251,1.05386
YLR126C,YLR126C,4,44,0.94096,0.34504,0.02635,1.02896,1.01994,1.02197,1.04315,1.0463
APC2,YLR127C,0,0,,,,,,,,
YLR128W,YLR128W,4,44,0.15294,0.01754,0.02377,1.01871,0.99921,1.00283,1.00037,0.99494
DIP2,YLR129W,0,0,,,,,,,,
ZRT2,YLR130C,4,44,1.27933,0.52761,0.03197,1.02613,0.99415,1.00123,1.01573,1.02334
ACE2,YLR131C,4,44,25.72951,9.27423,0.15791,0.81066,0.77731,0.84576,0.93522,0.90441
YLR132C,YLR132C,0,0,,,,,,,,
CKI1,YLR133W,4,44,17.39407,7.21704,0.12262,0.98614,1.01428,1.04996,1.10876,1.08285
PDC5,YLR134W,2,22,0.39623,0.09246,0.02084,0.99485,1.00149,0.98881,0.99831,0.98065
YLR135W,YLR135W,4,44,1.06519,0.41081,0.0225,1.00047,0.97869,0.99572,0.99126,0.97797
TIS11,YLR136C,4,44,7.67731,3.82449,0.09702,1.01988,1.06675,1.06589,1.1169,1.10637
YLR137W,YLR137W,4,44,2.91363,1.45435,0.03292,1.00443,1.01329,1.02557,1.03735,1.03133
NHA1,YLR138W,2,22,3.18151,1.35335,0.05274,0.9908,1.00388,1.03034,1.04021,1.04353
SLS1,YLR139C,3,26,12.95533,4.41309,0.22003,0.77612,0.6385,0.58346,0.55609,0.6137
YLR140W,YLR140W,0,0,,,,,,,,
RRN5,YLR141W,0,0,,,,,,,,
put1,YLR142W,4,44,0.31519,0.06254,0.01536,1.00325,1.0001,1.00376,1.01546,1.01003
YLR143W,YLR143W,4,44,10.52142,4.97742,0.10068,0.97084,1.00616,1.05564,1.07152,1.05734
ACF2,YLR144C,3,33,1.43063,0.59674,0.04285,0.99364,0.96181,0.97091,0.95079,0.95752
YLR145W,YLR145W,0,0,,,,,,,,
SPE4,YLR146C,4,44,2.52235,1.23351,0.03867,1.01688,1.03725,1.04309,1.05555,1.04046
SMD3,YLR147C,0,0,,,,,,,,
pep3,YLR148W,2,13,28.10218,3.30046,0.26232,0.87565,0.61333,0.80739,0.73204,0.69567
YLR149C,YLR149C,3,20,10.31741,3.13187,0.17297,0.76119,0.61329,0.68321,0.58822,0.75075
STM1,YLR150W,4,44,2.33377,1.12621,0.04689,0.97355,0.94369,0.93255,0.92666,0.95236
PCD1,YLR151C,4,44,0.48087,0.1252,0.02387,1.00182,0.97794,0.9893,0.98986,0.98288
YLR152C,YLR152C,4,44,2.05415,0.96649,0.04689,1.00418,1.02614,1.03243,1.05107,1.03969
ACS2,YLR153C,0,0,,,,,,,,
YLR154C,YLR154C,4,44,0.64186,0.19638,0.02906,0.98973,1.00322,1.01879,1.01498,1.01033
MAS1,YLR163C,0,0,,,,,,,,
YLR164W,YLR164W,4,44,1.62417,0.7212,0.03831,1.00885,0.98384,0.98572,0.97687,0.97054
YLR165C,YLR165C,4,44,4.49853,2.3113,0.05859,1.00991,0.98925,0.98788,0.95185,0.95132
SEC10,YLR166C,0,0,,,,,,,,
RPS31,YLR167W,0,0,,,,,,,,
MSF1',YLR168C,3,32,10.88092,4.44968,0.14932,0.92909,0.88154,0.83633,0.77977,0.82087
YLR169W,YLR169W,4,44,0.21368,0.03195,0.02181,0.98786,0.98113,0.97034,0.9896,0.99215
APS1,YLR170C,4,44,0.67323,0.21112,0.03411,1.00363,1.00348,0.99057,1.01884,1.02468
YLR171W,YLR171W,4,44,1.98151,0.92495,0.03829,1.00631,0.99623,0.97692,0.96802,0.97086
DPH5,YLR172C,4,44,5.70822,2.91874,0.05579,0.98703,0.99511,1.00389,1.04283,1.01635
YLR173W,YLR173W,4,43,11.60735,5.32294,0.08682,1.00491,1.05415,1.03702,1.09173,1.08106
IDP2,YLR174W,4,44,1.75677,0.79661,0.0295,0.99465,0.99289,0.99029,0.98981,0.96514
CBF5,YLR175W,0,0,,,,,,,,
RFX1,YLR176C,4,44,4.81926,2.47634,0.03717,0.98407,0.9603,0.95603,0.99319,0.96145
YLR177W,YLR177W,4,42,6.64877,3.31311,0.09745,1.00132,1.05467,1.0513,1.09877,1.07944
tfs1,YLR178C,4,44,0.49564,0.13137,0.01454,0.99615,0.98927,0.99682,0.99365,0.98228
YLR179C,YLR179C,4,44,4.29207,2.20353,0.06541,1.01951,1.06056,1.05317,1.08492,1.07807
sam1,YLR180W,4,44,0.64178,0.19634,0.02399,0.98079,0.96055,0.975,0.98454,0.972
YLR181C,YLR181C,4,44,1.5277,0.66659,0.02591,0.99459,0.9858,0.98415,1.01006,0.99554
SWI6,YLR182W,3,26,4.3555,1.91148,0.09652,0.82604,0.81149,0.77045,0.72952,0.76565
TOS4,YLR183C,4,44,1.61508,0.71604,0.03886,1.00383,1.02528,1.02068,1.04269,1.02331
YLR184W,YLR184W,2,21,58.26782,7.84585,0.22852,0.72209,0.76661,0.88185,0.94586,0.9506
RPL37A,YLR185W,4,43,117.98181,18.70756,0.22372,0.76297,0.78031,0.96278,0.98669,0.984
YLR186W,YLR186W,0,0,,,,,,,,
YLR187W,YLR187W,3,33,0.97159,0.35599,0.03901,1.00508,1.03122,1.0303,1.04409,1.02089
MDL1,YLR188W,3,33,1.20494,0.47699,0.06296,1.01049,1.02828,1.03192,1.07345,1.0578
UGT51,YLR189C,4,44,0.1387,0.01468,0.01128,1.00055,0.99386,0.99886,1.00513,0.99526
YLR190W,YLR190W,4,40,0.41325,0.09815,0.02559,0.91779,0.92744,0.92484,0.91356,0.93915
PEX13,YLR191W,4,44,13.65332,6.07844,0.0704,0.97188,0.99925,1.01717,1.03036,1.04228
HCR1,YLR192C,4,41,8.08428,3.89672,0.09926,0.76601,0.81944,0.853,0.85992,0.86527
YLR193C,YLR193C,2,18,0.81222,0.26517,0.06941,0.7606,0.83001,0.78974,0.80372,0.78696
YLR194C,YLR194C,4,44,1.9116,0.88499,0.03202,1.00858,0.97682,0.98466,0.97656,0.98475
nmt1,YLR195C,0,0,,,,,,,,
PWP1,YLR196W,0,0,,,,,,,,
SIK1,YLR197W,0,0,,,,,,,,
YLR198C,YLR198C,0,0,,,,,,,,
YLR199C,YLR199C,4,44,2.4628,1.19967,0.04469,1.0581,1.03055,1.02489,1.06958,1.06385
YKE2,YLR200W,4,44,22.8439,8.62268,0.13599,0.91011,0.91666,1.02307,1.0461,1.02352
YLR201C,YLR201C,4,32,20.04606,6.49945,0.25384,0.84157,0.82384,0.63613,0.58773,0.67279
YLR202C,YLR202C,4,36,47.2165,11.08048,0.22739,0.82337,0.78582,0.63198,0.59599,0.64672
mss51,YLR203C,4,37,30.29056,9.07857,0.26052,0.84437,0.80195,0.61217,0.58385,0.59928
QRI5,YLR204W,4,30,44.72982,9.25876,0.28895,0.93277,0.935,0.76539,0.64606,0.79387
YLR205C,YLR205C,4,43,0.93715,0.34271,0.02823,1.01794,1.0336,1.02617,1.04617,1.04105
ENT2,YLR206W,4,44,6.21358,3.16064,0.0762,1.03288,1.05269,1.05119,1.10908,1.10135
HRD3,YLR207W,4,44,0.55499,0.15696,0.01266,1.01761,1.01673,1.01281,1.02548,1.02393
SEC13,YLR208W,0,0,,,,,,,,
PNP1,YLR209C,3,32,0.6225,0.18648,0.0238,0.99586,1.01861,1.00388,1.01966,1.01147
CLB4,YLR210W,4,44,6.8478,3.4548,0.08865,1.01091,1.04586,1.04064,1.09956,1.08791
YLR211C,YLR211C,4,44,6.8442,3.45316,0.04649,1.01286,1.04608,1.0354,1.05873,1.05935
TUB4,YLR212C,0,0,,,,,,,,
CRR1,YLR213C,4,44,0.47967,0.1247,0.01759,1.00882,1.02612,1.01489,1.02641,1.02628
FRE1,YLR214W,4,44,1.9335,0.89751,0.02984,1.01011,1.02444,1.03467,1.03996,1.03502
CDC123,YLR215C,0,0,,,,,,,,
CPR6,YLR216C,2,22,1.54273,0.61911,0.0347,0.99787,0.98493,0.98314,0.96316,0.96869
YLR217W,YLR217W,3,33,3.5478,1.69818,0.06733,1.00475,1.03652,1.0354,1.06597,1.07208
YLR218C,YLR218C,2,22,37.69438,6.93248,0.25912,0.9722,0.95917,0.71308,0.88386,0.78666
YLR219W,YLR219W,3,33,0.76985,0.25569,0.02304,1.01207,1.02108,1.02471,1.0351,1.03002
CCC1,YLR220W,4,44,7.40871,3.70659,0.06216,1.00139,1.03707,1.01634,1.06355,1.05505
YLR221C,YLR221C,4,44,1.31,0.54461,0.024,0.98492,0.98659,0.99439,1.00892,1.00442
YLR222C,YLR222C,0,0,,,,,,,,
IFH1,YLR223C,0,0,,,,,,,,
YLR224W,YLR224W,4,44,0.80092,0.27339,0.03342,1.01288,1.00234,0.9965,1.02992,1.01361
YLR225C,YLR225C,4,44,0.35959,0.078,0.02078,1.00471,0.98567,0.98393,0.99136,0.98808
BUR2,YLR226W,3,19,7.24556,2.38478,0.14611,0.77065,0.71734,0.82112,0.78552,0.86346
YLR227C,YLR227C,4,44,1.0651,0.41076,0.02088,1.01478,1.01968,1.01498,1.03566,1.03393
ECM22,YLR228C,2,22,1.53071,0.61335,0.02007,1.02789,1.00782,1.01337,1.01253,1.00925
cdc42,YLR229C,0,0,,,,,,,,
YLR230W,YLR230W,0,0,,,,,,,,
YLR231C,YLR231C,4,44,2.42397,1.17758,0.05859,1.02585,1.05411,1.04722,1.08444,1.06866
YLR232W,YLR232W,4,37,40.49245,10.52955,0.18003,0.97117,0.93395,0.83862,0.79114,0.81889
EST1,YLR233C,1,10,6.98934,1.36574,0.28441,0.69846,0.62111,0.85615,0.8663,0.90552
top3,YLR234W,0,0,,,,,,,,
YLR235C,YLR235C,0,0,,,,,,,,
YLR236C,YLR236C,4,40,1.53728,0.66596,0.07069,1.02974,1.06242,1.05034,1.10043,1.07826
THI7,YLR237W,4,43,4.04382,2.06158,0.10068,1.03745,1.10189,1.09596,1.13814,1.1312
YLR238W,YLR238W,4,43,2.37941,1.14841,0.05823,1.02774,1.04188,1.05432,1.08597,1.0725
YLR239C,YLR239C,2,22,37.13272,6.88855,0.22912,0.8807,0.88112,0.68406,0.652,0.68798
vps34,YLR240W,2,12,12.94524,2.12223,0.1716,0.70766,0.53606,0.67359,0.60821,0.58708
YLR241W,YLR241W,4,44,0.37343,0.08304,0.02363,1.03385,1.03385,1.03158,1.05521,1.04902
ARV1,YLR242C,1,8,0.92407,0.23737,0.25612,0.687,0.60202,0.80192,0.80153,0.85814
YLR243W,YLR243W,0,0,,,,,,,,
MAP1,YLR244C,0,0,,,,,,,,
ERF2,YLR246W,4,44,2.02006,0.94699,0.03621,1.00851,1.02697,1.04097,1.04472,1.03791
YLR247C,YLR247C,4,44,1.72156,0.77656,0.03478,1.02308,1.02046,1.01043,1.04521,1.0374
RCK2,YLR248W,4,38,0.59283,0.17356,0.03267,1.03504,1.02628,1.02635,1.05896,1.0483
