Gene,RLS
YLR078C,0
YLR086W,0
YLR088W,0
YLR099W-A,0
YLR100W,0
YLR103C,0
YLR105C,0
YLR106C,0
YLR115W,0
YLR116W,0
YLR117C,0
YLR127C,0
YLR129W,0
YLR132C,0
YLR141W,0
YLR145W,0
YLR147C,0
YLR153C,0
YLR163C,0
YLR166C,0
YLR167W,0
YLR175W,0
YLR186W,0
YLR195C,0
YLR196W,0
YLR197W,0
YLR208W,0
YLR212C,0
YLR215C,0
YLR222C,0
YLR229C,0
YLR243W,0
YLR249W,0
YLR259C,0
YLR272C,0
YLR274W,0
YLR275W,0
YLR276C,0
YLR277C,0
YLR291C,0
YLR298C,0
YLR305C,0
YLR310C,0
YLR314C,0
YLR316C,0
YLR321C,0
YLR323C,0
YLR336C,0
YLR340W,0
YLR347C,0
YLR355C,0
YLR359W,0
YLR378C,0
YLR397C,0
YLR409C,0
YLR424W,0
YLR430W,0
YLR438C-A,0
YLR440C,0
YLR457C,0
YLR459W,0
YML010W,0
YML015C,0
YML023C,0
YML025C,0
YML031W,0
YML043C,0
YML046W,0
YML049C,0
YML064C,0
YML065W,0
YML069W,0
YML077W,0
YML085C,0
YML091C,0
YML092C,0
YML093W,0
YML098W,0
YML105C,0
YML114C,0
YML125C,0
YML126C,0
YML127W,0
YML130C,0
YMR001C,0
YMR005W,0
YMR013C,0
YMR028W,0
YMR043W,0
YMR047C,0
YMR049C,0
YMR059W,0
YMR061W,0
YMR076C,0
YMR079W,0
YMR093W,0
YMR094W,0
YMR112C,0
YMR113W,0
YMR117C,0
YMR128W,0
YMR131C,0
YMR134W,0
YMR149W,0
YMR168C,0
YMR197C,0
YMR200W,0
YMR203W,0
YMR208W,0
YMR211W,0
YMR213W,0
YMR218C,0
YMR220W,0
YMR227C,0
YMR229C,0
YMR235C,0
YMR236W,0
YMR239C,0
YMR240C,0
YMR260C,0
YMR268C,0
YMR270C,0
YMR277W,0
YMR281W,0
YMR288W,0
YMR290C,0
YMR296C,0
YMR298W,0
YMR301C,0
YMR308C,0
YMR309C,0
YMR314W,0
YNL002C,0
YNL006W,0
YNL007C,0
YNL024C-A,0
YNL026W,0
YNL038W,0
YNL039W,0
YNL061W,0
YNL062C,0
YNL075W,0
YNL088W,0
YNL102W,0
YNL103W,0
YNL110C,0
YNL112W,0
YNL113W,0
YNL118C,0
YNL124W,0
YNL126W,0
YNL131W,0
YNL132W,0
YNL137C,0
YNL149C,0
YNL151C,0
YNL152W,0
YNL158W,0
YNL161W,0
YNL162W,0
YNL163C,0
YNL172W,0
YNL178W,0
YNL181W,0
YNL182C,0
YNL188W,0
YNL189W,0
YNL207W,0
YNL216W,0
YNL221C,0
YNL222W,0
YNL232W,0
YNL240C,0
YNL244C,0
YNL245C,0
YNL247W,0
YNL251C,0
YNL256W,0
YNL258C,0
YNL260C,0
YNL261W,0
YNL262W,0
YNL263C,0
YNL267W,0
YNL272C,0
YNL282W,0
YNL287W,0
YNL290W,0
YNL306W,0
YNL308C,0
